category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	standard_compare_ground.yml	True	TIMEOUT	301.247499047	1516.58496	TIMEOUT	301.324464169	1695.629312	TIMEOUT	301.474207584	1696.03072	TIMEOUT	301.448315733	1696.178176	TIMEOUT	301.53206355	1695.694848	TIMEOUT	301.383450018	1696.227328	TIMEOUT	301.494753063	1696.530432
ReachSafety-Arrays	array-examples	standard_copy1_ground-1.yml	True	TIMEOUT	301.377219053	2604.720128	TIMEOUT	301.598802029	2858.033152	TIMEOUT	301.703689269	2857.959424	TIMEOUT	301.70774889	2858.504192	TIMEOUT	301.542981866	2858.496	TIMEOUT	300.715600272	2858.479616	TIMEOUT	301.70917082	2858.602496
ReachSafety-Arrays	array-examples	standard_copy1_ground-2.yml	False	TIMEOUT	301.288856646	3181.60896	TIMEOUT	301.654286968	3451.031552	TIMEOUT	301.727867971	3451.00288	TIMEOUT	301.751779551	3451.55584	TIMEOUT	301.665518669	3451.592704	TIMEOUT	300.96895428	3451.502592	TIMEOUT	301.715801316	3451.486208
ReachSafety-Arrays	array-examples	standard_copy2_ground-1.yml	False	TIMEOUT	301.481400069	3735.605248	TIMEOUT	301.593723654	4076.29824	TIMEOUT	301.676729471	4076.363776	TIMEOUT	301.671148875	4076.834816	TIMEOUT	301.670258094	4076.89216	TIMEOUT	301.387224529	4076.843008	TIMEOUT	301.664975005	4076.900352
ReachSafety-Arrays	array-examples	standard_copy2_ground-2.yml	True	TIMEOUT	301.216751043	3239.088128	TIMEOUT	301.507347368	3562.835968	TIMEOUT	301.702185513	3562.840064	TIMEOUT	301.729237662	3563.343872	TIMEOUT	301.715835918	3563.360256	TIMEOUT	301.471908532	3563.352064	TIMEOUT	301.721570801	3563.364352
ReachSafety-Arrays	array-examples	standard_copy3_ground-1.yml	True	TIMEOUT	301.519490682	3838.73024	TIMEOUT	301.584454702	4233.097216	TIMEOUT	301.740196339	4233.076736	TIMEOUT	301.663415962	4233.682944	TIMEOUT	301.757862034	4233.711616	TIMEOUT	301.153511554	4233.641984	TIMEOUT	301.809010032	4233.592832
ReachSafety-Arrays	array-examples	standard_copy3_ground-2.yml	False	TIMEOUT	301.326929802	4355.575808	TIMEOUT	301.342813191	4767.0272	TIMEOUT	301.341095839	4766.994432	TIMEOUT	301.383747377	4767.47776	TIMEOUT	301.429093939	4767.543296	TIMEOUT	301.390769628	4767.465472	TIMEOUT	301.390343391	4767.45728
ReachSafety-Arrays	array-examples	standard_copy4_ground-1.yml	True	TIMEOUT	301.483999557	4448.48128	TIMEOUT	301.647589943	4913.299456	TIMEOUT	301.79116271	4913.246208	TIMEOUT	301.789838614	4913.844224	TIMEOUT	301.656336076	4913.7664	TIMEOUT	301.84249144	4913.815552	TIMEOUT	301.799957886	4913.750016
ReachSafety-Arrays	array-examples	standard_copy4_ground-2.yml	False	TIMEOUT	301.395330752	4938.297344	OUT OF MEMORY	103.713928687	4999.999488	OUT OF MEMORY	105.567257235	4999.999488	OUT OF MEMORY	103.563094728	4999.999488	OUT OF MEMORY	102.908616296	4999.999488	OUT OF MEMORY	104.730089095	4999.999488	OUT OF MEMORY	104.697432397	4999.999488
ReachSafety-Arrays	array-examples	standard_copy5_ground-1.yml	True	OUT OF MEMORY	119.521916375	4999.999488	OUT OF MEMORY	106.89095245	4999.999488	OUT OF MEMORY	104.453522919	4999.999488	OUT OF MEMORY	103.843551814	4999.999488	OUT OF MEMORY	103.965778885	4999.999488	OUT OF MEMORY	105.165440089	4999.999488	OUT OF MEMORY	106.932620241	4999.999488
