category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-1.yml	False	TIMEOUT	301.143077186	1395.339264	TIMEOUT	301.09924788	1585.401856	TIMEOUT	301.138843636	1579.47904	TIMEOUT	301.136440603	1630.588928	TIMEOUT	301.184745384	1616.277504	TIMEOUT	301.161089649	1624.51456	TIMEOUT	301.243705723	1607.63904
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-2.yml	True	TIMEOUT	301.159751656	1154.768896	TIMEOUT	301.161237057	1365.188608	TIMEOUT	301.126707641	1366.67136	TIMEOUT	301.17849351	1413.763072	TIMEOUT	301.174491308	1425.461248	TIMEOUT	301.163551082	1407.73376	TIMEOUT	301.243727727	1401.319424
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_trivial_ground.yml	True	TIMEOUT	301.107541325	1264.889856	TIMEOUT	301.319079087	2768.134144	TIMEOUT	301.353889899	3071.148032	TIMEOUT	301.338078261	2914.320384	TIMEOUT	301.403837239	3217.977344	TIMEOUT	301.335244296	2897.317888	TIMEOUT	301.566080283	3189.10464
ReachSafety-Arrays	array-examples	relax-2-2.yml	True	TIMEOUT	301.010908406	100.868096	TIMEOUT	301.012135439	100.70016	TIMEOUT	301.007611834	95.00672	TIMEOUT	301.006195305	97.1776	TIMEOUT	301.011699853	97.202176	TIMEOUT	301.005232786	101.916672	TIMEOUT	301.057209724	95.3344
ReachSafety-Arrays	array-examples	sanfoundry_02_ground.yml	True	OUT OF MEMORY	116.693217427	4999.999488	OUT OF MEMORY	112.636929049	4999.999488	OUT OF MEMORY	114.888677155	4999.999488	OUT OF MEMORY	136.529248081	4999.999488	OUT OF MEMORY	139.741188169	4999.999488	OUT OF MEMORY	127.83406418	4999.999488	OUT OF MEMORY	137.203830984	4999.999488
ReachSafety-Arrays	array-examples	sanfoundry_10_ground.yml	True	TIMEOUT	301.081171722	835.05152	TIMEOUT	301.067901241	802.635776	TIMEOUT	301.094574435	793.759744	TIMEOUT	301.048933814	812.822528	TIMEOUT	301.026600368	790.016	TIMEOUT	301.045540144	795.89376	TIMEOUT	301.067303593	777.248768
ReachSafety-Arrays	array-examples	sanfoundry_24-1.yml	True	TIMEOUT	301.021523096	206.62272	TIMEOUT	301.027542904	178.40128	TIMEOUT	301.016290738	176.185344	TIMEOUT	301.015079215	178.91328	TIMEOUT	301.035987523	176.566272	TIMEOUT	301.038837476	179.204096	TIMEOUT	301.061434447	175.542272
ReachSafety-Arrays	array-examples	sanfoundry_27_ground.yml	True	TIMEOUT	301.303859487	3455.369216	TIMEOUT	301.579292391	3992.788992	TIMEOUT	301.469362241	3992.8832	TIMEOUT	301.468144435	3993.083904	TIMEOUT	301.370597888	3993.10848	TIMEOUT	301.601565109	3993.112576	TIMEOUT	301.723363905	3993.096192
ReachSafety-Arrays	array-examples	sanfoundry_43_ground.yml	True	TIMEOUT	301.258374059	3178.47552	TIMEOUT	301.55779325	3351.71584	TIMEOUT	301.429328927	3365.584896	TIMEOUT	301.461648256	3326.144512	TIMEOUT	301.363336156	3273.936896	TIMEOUT	301.43309449	3391.934464	TIMEOUT	301.689423042	3442.184192
ReachSafety-Arrays	array-examples	sorting_bubblesort_2_ground.yml	False	TIMEOUT	301.119763182	929.214464	TIMEOUT	301.403378037	2753.425408	TIMEOUT	301.571325094	2763.03872	TIMEOUT	301.393896853	2802.290688	TIMEOUT	301.321549588	2812.526592	TIMEOUT	301.506286119	2801.78688	TIMEOUT	301.559952622	2811.16672
ReachSafety-Arrays	array-examples	sorting_bubblesort_ground-1.yml	True	TIMEOUT	301.096674871	926.45376	TIMEOUT	301.371402032	2753.359872	TIMEOUT	301.618595217	2763.005952	TIMEOUT	301.436057201	2802.31936	TIMEOUT	301.31300974	2812.5184	TIMEOUT	301.492222152	2801.799168	TIMEOUT	301.720841736	2811.744256
ReachSafety-Arrays	array-examples	sorting_bubblesort_ground-2.yml	False	TIMEOUT	301.016843291	928.935936	TIMEOUT	301.428930838	2753.449984	TIMEOUT	301.645682739	2762.9568	TIMEOUT	301.417294182	2802.286592	TIMEOUT	301.353883889	2812.493824	TIMEOUT	301.376508058	2801.790976	TIMEOUT	301.586913496	2811.67872
ReachSafety-Arrays	array-examples	sorting_selectionsort_2_ground.yml	False	TIMEOUT	300.8278099	1173.905408	TIMEOUT	301.185649993	1554.194432	TIMEOUT	301.252876568	1542.16448	TIMEOUT	301.224332933	1532.895232	TIMEOUT	301.085010517	1469.07136	TIMEOUT	301.302037749	1531.932672	TIMEOUT	301.291140595	1466.83904
ReachSafety-Arrays	array-examples	sorting_selectionsort_ground-1.yml	False	TIMEOUT	301.060243377	1215.176704	TIMEOUT	301.315807957	1965.858816	TIMEOUT	301.274023323	1969.00864	TIMEOUT	300.404798994	1994.985472	TIMEOUT	301.143799315	1998.528512	TIMEOUT	301.326002734	1981.956096	TIMEOUT	301.133084994	1999.659008
ReachSafety-Arrays	array-examples	sorting_selectionsort_ground-2.yml	True	TIMEOUT	301.098998166	1192.615936	TIMEOUT	301.316416991	1546.11712	TIMEOUT	301.320402679	1564.106752	TIMEOUT	301.251386	1542.729728	TIMEOUT	301.178485549	1509.629952	TIMEOUT	301.242437268	1536.323584	TIMEOUT	301.31231508	1510.821888
ReachSafety-Arrays	array-examples	standard_allDiff2_ground.yml	False	TIMEOUT	301.074889711	1202.2784	TIMEOUT	301.283529889	1576.136704	TIMEOUT	301.478055253	1539.989504	TIMEOUT	301.346936842	1478.746112	TIMEOUT	301.137875497	1492.025344	TIMEOUT	301.326539798	1540.624384	TIMEOUT	301.365278748	1491.193856
ReachSafety-Arrays	array-examples	standard_compareModified_ground.yml	True	TIMEOUT	301.05820879	1560.301568	TIMEOUT	301.243002453	1898.672128	TIMEOUT	301.293726054	1863.221248	TIMEOUT	301.326309889	1864.146944	TIMEOUT	301.178738515	1843.195904	TIMEOUT	301.411563307	1868.75904	TIMEOUT	301.397033915	1830.916096
ReachSafety-Arrays	array-examples	standard_compare_ground.yml	True	TIMEOUT	301.096751927	1561.735168	TIMEOUT	301.39149701	1734.381568	TIMEOUT	301.296119743	1733.677056	TIMEOUT	301.29759117	1735.68	TIMEOUT	301.084205332	1700.257792	TIMEOUT	301.342747244	1734.295552	TIMEOUT	301.372718782	1663.770624
ReachSafety-Arrays	array-examples	standard_copy1_ground-1.yml	True	TIMEOUT	301.172762288	2604.716032	TIMEOUT	301.403203317	2791.100416	TIMEOUT	301.315893739	2791.1168	TIMEOUT	301.519993597	2791.60832	TIMEOUT	301.181674701	2791.727104	TIMEOUT	301.440823282	2791.6288	TIMEOUT	301.425360439	2791.641088
ReachSafety-Arrays	array-examples	standard_copy1_ground-2.yml	False	TIMEOUT	301.218148074	3181.71136	TIMEOUT	301.480742943	3384.139776	TIMEOUT	301.578906579	3384.119296	TIMEOUT	301.325486163	3384.733696	TIMEOUT	301.303548452	3384.700928	TIMEOUT	301.468572028	3384.725504	TIMEOUT	301.591694899	3384.68864
ReachSafety-Arrays	array-examples	standard_copy2_ground-1.yml	False	TIMEOUT	301.252600967	3735.57248	TIMEOUT	301.528503125	3974.098944	TIMEOUT	301.521734072	3974.193152	TIMEOUT	301.482186964	3974.639616	TIMEOUT	301.226806776	3974.660096	TIMEOUT	301.412949754	3974.660096	TIMEOUT	301.753701449	3974.664192
ReachSafety-Arrays	array-examples	standard_copy2_ground-2.yml	True	TIMEOUT	301.197898174	3239.092224	TIMEOUT	301.324844375	3461.615616	TIMEOUT	301.507060202	3461.599232	TIMEOUT	301.373153174	3462.18496	TIMEOUT	301.224861402	3462.209536	TIMEOUT	301.373433656	3462.127616	TIMEOUT	301.56924988	3462.209536
ReachSafety-Arrays	array-examples	standard_copy3_ground-1.yml	True	TIMEOUT	301.277921284	3838.722048	TIMEOUT	301.491025991	4096.843776	TIMEOUT	301.464174359	4096.8192	TIMEOUT	301.406642729	4097.24928	TIMEOUT	301.100447541	4097.24928	TIMEOUT	301.301620212	4097.282048	TIMEOUT	301.552472024	4097.241088
ReachSafety-Arrays	array-examples	standard_copy3_ground-2.yml	False	TIMEOUT	301.295853791	4355.62496	TIMEOUT	301.40017906	4629.64736	TIMEOUT	301.577914408	4629.721088	TIMEOUT	301.401986561	4630.175744	TIMEOUT	301.338169775	4630.2208	TIMEOUT	301.335585215	4630.183936	TIMEOUT	301.590825252	4630.130688
ReachSafety-Arrays	array-examples	standard_copy4_ground-1.yml	True	TIMEOUT	301.284302263	4448.485376	TIMEOUT	301.475036888	4741.521408	TIMEOUT	301.428457976	4741.636096	TIMEOUT	301.3032963	4742.176768	TIMEOUT	301.378789734	4742.037504	TIMEOUT	301.346185733	4742.176768	TIMEOUT	301.034830136	4742.168576
ReachSafety-Arrays	array-examples	standard_copy4_ground-2.yml	False	TIMEOUT	301.33775902	4938.40384	OUT OF MEMORY	96.431295179	4999.999488	OUT OF MEMORY	94.735886856	4999.999488	OUT OF MEMORY	98.823689293	4999.999488	OUT OF MEMORY	100.207686134	4999.999488	OUT OF MEMORY	95.37370152	4999.999488	OUT OF MEMORY	100.833008688	4999.999488
