category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-1.yml	False	TIMEOUT	301.207167101	1357.1072	TIMEOUT	301.156088388	635.551744	TIMEOUT	301.110510358	815.22688	TIMEOUT	301.153000185	916.836352	TIMEOUT	301.149815724	1050.288128	TIMEOUT	301.17707126	1023.397888	TIMEOUT	301.187248577	1000.144896
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-2.yml	True	TIMEOUT	301.03647278	1148.850176	TIMEOUT	301.176454384	635.654144	TIMEOUT	301.090049235	815.230976	TIMEOUT	301.127654914	917.868544	TIMEOUT	301.167154289	1042.808832	TIMEOUT	301.140874029	1035.997184	TIMEOUT	301.186879741	1005.154304
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_trivial_ground.yml	True	TIMEOUT	300.803764818	1263.607808	TIMEOUT	301.114898221	1121.427456	TIMEOUT	301.132793506	1296.46592	TIMEOUT	301.214187448	1380.159488	TIMEOUT	301.250700407	1518.936064	TIMEOUT	301.251482066	1504.227328	TIMEOUT	301.362413462	1478.426624
ReachSafety-Arrays	array-examples	relax-2-2.yml	True	TIMEOUT	300.925920168	100.88448	TIMEOUT	301.006945128	35.078144	TIMEOUT	301.00867907	35.069952	TIMEOUT	301.068043788	621.125632	TIMEOUT	301.07959667	580.374528	TIMEOUT	301.054483614	581.537792	TIMEOUT	301.032386841	538.251264
ReachSafety-Arrays	array-examples	sanfoundry_02_ground.yml	True	OUT OF MEMORY	118.647110362	4999.999488	OUT OF MEMORY	127.971653985	4999.999488	OUT OF MEMORY	122.367189803	4999.999488	OUT OF MEMORY	191.809960771	4999.999488	OUT OF MEMORY	194.577293694	4999.999488	OUT OF MEMORY	188.038493346	4999.999488	OUT OF MEMORY	191.813110902	4999.999488
ReachSafety-Arrays	array-examples	sanfoundry_10_ground.yml	True	TIMEOUT	301.076304861	827.35104	TIMEOUT	301.013409089	33.292288	TIMEOUT	301.015728513	33.284096	TIMEOUT	301.047242957	360.275968	TIMEOUT	301.054077289	490.819584	TIMEOUT	300.963267269	331.575296	TIMEOUT	301.121871385	482.4064
ReachSafety-Arrays	array-examples	sanfoundry_24-1.yml	True	TIMEOUT	300.999715884	201.715712	TIMEOUT	300.993483046	33.337344	TIMEOUT	300.981755714	33.23904	TIMEOUT	301.024752079	381.784064	TIMEOUT	301.012354201	346.464256	TIMEOUT	301.025790629	355.622912	TIMEOUT	301.027430663	321.257472
ReachSafety-Arrays	array-examples	sanfoundry_27_ground.yml	True	TIMEOUT	301.530294413	3455.389696	TIMEOUT	301.349014773	3992.707072	TIMEOUT	301.547096792	3992.563712	TIMEOUT	301.618149304	4054.99904	TIMEOUT	301.753927563	4054.470656	TIMEOUT	301.714154778	4054.872064	TIMEOUT	301.695898908	4054.54848
ReachSafety-Arrays	array-examples	sanfoundry_43_ground.yml	True	TIMEOUT	301.447194488	3175.395328	TIMEOUT	301.415676233	3291.89376	TIMEOUT	301.602574516	3268.317184	TIMEOUT	301.52756064	3204.636672	TIMEOUT	301.678300515	3256.889344	TIMEOUT	301.478405296	3174.805504	TIMEOUT	301.702006954	3247.448064
ReachSafety-Arrays	array-examples	sorting_bubblesort_2_ground.yml	False	TIMEOUT	301.077220889	922.78784	TIMEOUT	301.113775096	911.609856	TIMEOUT	301.237208628	2830.348288	TIMEOUT	301.236294512	2117.402624	TIMEOUT	301.229424868	3038.744576	TIMEOUT	301.176521969	2108.243968	TIMEOUT	301.294018401	3037.290496
ReachSafety-Arrays	array-examples	sorting_bubblesort_ground-1.yml	True	TIMEOUT	301.123533447	930.664448	TIMEOUT	301.175831433	911.548416	TIMEOUT	301.197130805	2830.31552	TIMEOUT	301.359510499	2147.065856	TIMEOUT	301.633081997	3038.789632	TIMEOUT	301.438375152	2092.101632	TIMEOUT	301.685296337	3037.270016
ReachSafety-Arrays	array-examples	sorting_bubblesort_ground-2.yml	False	TIMEOUT	301.127437215	926.851072	TIMEOUT	301.193162386	911.593472	TIMEOUT	301.560806857	2830.31552	TIMEOUT	301.280864331	2126.749696	TIMEOUT	301.626037534	3038.752768	TIMEOUT	301.44663954	2098.761728	TIMEOUT	301.373540487	3037.253632
ReachSafety-Arrays	array-examples	sorting_selectionsort_2_ground.yml	False	TIMEOUT	301.124065613	1173.42208	TIMEOUT	301.182376352	529.42848	TIMEOUT	301.234144659	1436.073984	TIMEOUT	301.160470167	1045.364736	TIMEOUT	301.290262652	1083.461632	TIMEOUT	301.154281198	996.384768	TIMEOUT	301.157759642	925.77792
ReachSafety-Arrays	array-examples	sorting_selectionsort_ground-1.yml	False	TIMEOUT	301.221981511	1215.152128	TIMEOUT	301.061072766	691.269632	TIMEOUT	300.976158872	960.630784	TIMEOUT	301.227421681	1207.504896	TIMEOUT	301.400256931	1595.641856	TIMEOUT	301.308335922	1157.021696	TIMEOUT	301.407385662	1575.702528
ReachSafety-Arrays	array-examples	sorting_selectionsort_ground-2.yml	True	TIMEOUT	301.230746877	1174.663168	TIMEOUT	301.160066381	564.670464	TIMEOUT	301.407097394	1556.987904	TIMEOUT	301.160659572	1080.881152	TIMEOUT	300.914253977	1052.082176	TIMEOUT	300.871109643	1039.753216	TIMEOUT	301.053351622	920.981504
ReachSafety-Arrays	array-examples	standard_allDiff2_ground.yml	False	TIMEOUT	301.155399008	1184.403456	TIMEOUT	301.127708215	519.499776	TIMEOUT	301.338393174	1547.067392	TIMEOUT	301.24644395	1350.73792	TIMEOUT	301.443224816	1949.401088	TIMEOUT	301.242837983	1204.764672	TIMEOUT	301.464137902	1936.412672
ReachSafety-Arrays	array-examples	standard_compareModified_ground.yml	True	TIMEOUT	301.220297201	1544.68352	TIMEOUT	300.990847047	557.314048	TIMEOUT	301.407181019	1827.495936	TIMEOUT	301.187187677	1093.87776	TIMEOUT	301.436726761	1793.564672	TIMEOUT	301.208568971	1070.759936	TIMEOUT	301.415288854	1796.509696
ReachSafety-Arrays	array-examples	standard_compare_ground.yml	True	TIMEOUT	301.290170777	1523.982336	TIMEOUT	301.06942549	347.000832	TIMEOUT	301.370541159	1700.347904	TIMEOUT	301.174099512	890.892288	TIMEOUT	301.390449344	1639.456768	TIMEOUT	301.230637131	860.34432	TIMEOUT	301.39339703	1638.506496
ReachSafety-Arrays	array-examples	standard_copy1_ground-1.yml	True	TIMEOUT	301.40815649	2604.716032	TIMEOUT	301.307411675	2791.104512	TIMEOUT	301.551118826	2791.153664	TIMEOUT	301.404402674	2850.63168	TIMEOUT	301.6029675	2851.84	TIMEOUT	301.337415644	2850.67264	TIMEOUT	301.536721348	2851.98336
ReachSafety-Arrays	array-examples	standard_copy1_ground-2.yml	False	TIMEOUT	301.439338233	3181.674496	TIMEOUT	301.316564985	3384.127488	TIMEOUT	301.480131535	3384.1152	TIMEOUT	301.534277391	3443.662848	TIMEOUT	301.584102109	3445.137408	TIMEOUT	301.513641847	3443.699712	TIMEOUT	301.621438832	3445.149696
ReachSafety-Arrays	array-examples	standard_copy2_ground-1.yml	False	TIMEOUT	301.526175785	3735.597056	TIMEOUT	301.389797397	3974.119424	TIMEOUT	301.642718901	3974.180864	TIMEOUT	301.463818888	4033.708032	TIMEOUT	301.608471741	4035.13344	TIMEOUT	301.548169551	4033.90464	TIMEOUT	301.698420428	4035.186688
ReachSafety-Arrays	array-examples	standard_copy2_ground-2.yml	True	TIMEOUT	301.368222889	3239.129088	TIMEOUT	301.349612339	3461.607424	TIMEOUT	301.585911817	3461.689344	TIMEOUT	301.41214603	3521.339392	TIMEOUT	301.630034059	3522.469888	TIMEOUT	301.449406444	3521.376256	TIMEOUT	301.552713176	3522.535424
ReachSafety-Arrays	array-examples	standard_copy3_ground-1.yml	True	TIMEOUT	301.442997447	3838.738432	TIMEOUT	301.213574272	4096.843776	TIMEOUT	301.663391047	4096.827392	TIMEOUT	301.494272341	4156.325888	TIMEOUT	301.588352448	4157.689856	TIMEOUT	301.616499926	4156.481536	TIMEOUT	301.636245329	4157.76768
ReachSafety-Arrays	array-examples	standard_copy3_ground-2.yml	False	TIMEOUT	301.573951957	4355.674112	TIMEOUT	301.238637652	4629.704704	TIMEOUT	301.679517813	4629.676032	TIMEOUT	301.276465537	4689.174528	TIMEOUT	301.595169612	4690.751488	TIMEOUT	301.549710902	4689.3056	TIMEOUT	301.651422404	4690.653184
ReachSafety-Arrays	array-examples	standard_copy4_ground-1.yml	True	TIMEOUT	301.398420843	4448.448512	TIMEOUT	301.269026388	4741.505024	TIMEOUT	301.636523955	4741.558272	TIMEOUT	301.455551705	4801.130496	TIMEOUT	301.780413042	4802.306048	TIMEOUT	301.610300083	4800.954368	TIMEOUT	301.650895956	4802.248704
ReachSafety-Arrays	array-examples	standard_copy4_ground-2.yml	False	TIMEOUT	301.373441708	4938.297344	OUT OF MEMORY	109.282411698	4999.999488	OUT OF MEMORY	104.509391854	4999.999488	OUT OF MEMORY	122.050413588	4999.999488	OUT OF MEMORY	128.092930381	4999.999488	OUT OF MEMORY	119.691450888	4999.999488	OUT OF MEMORY	129.213310905	4999.999488
ReachSafety-Arrays	array-examples	standard_copy5_ground-1.yml	True	OUT OF MEMORY	122.006791087	4999.999488	OUT OF MEMORY	106.005939895	4999.999488	OUT OF MEMORY	106.479746749	4999.999488	OUT OF MEMORY	131.178164872	4999.999488	OUT OF MEMORY	133.659919155	4999.999488	OUT OF MEMORY	133.991761195	4999.999488	OUT OF MEMORY	136.428878055	4999.999488
