category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-1.yml	False	TIMEOUT	301.2289036	1330.290688	TIMEOUT	301.351901601	1622.67136	TIMEOUT	301.146252432	1626.529792	TIMEOUT	301.347495804	1688.18688	TIMEOUT	301.135115927	1663.594496	TIMEOUT	301.146065552	1661.874176	TIMEOUT	301.190399528	1657.856
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-2.yml	True	TIMEOUT	301.249732842	1142.345728	TIMEOUT	301.434787285	1433.952256	TIMEOUT	301.169165839	1436.127232	TIMEOUT	301.13438595	1486.954496	TIMEOUT	301.18744602	1482.989568	TIMEOUT	301.131315293	1474.199552	TIMEOUT	301.138315512	1473.302528
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_trivial_ground.yml	True	TIMEOUT	301.299734843	1261.477888	TIMEOUT	301.771043796	2768.089088	TIMEOUT	301.383526735	3077.500928	TIMEOUT	301.486823126	2914.59072	TIMEOUT	301.700085244	3224.571904	TIMEOUT	301.509254116	2898.501632	TIMEOUT	301.649839618	3195.469824
ReachSafety-Arrays	array-examples	relax-2-2.yml	True	TIMEOUT	300.962785979	100.769792	TIMEOUT	301.04111837	95.29344	TIMEOUT	301.008264873	96.407552	TIMEOUT	300.894210602	94.838784	TIMEOUT	301.013183309	97.333248	TIMEOUT	301.005513055	94.732288	TIMEOUT	301.008153555	95.514624
ReachSafety-Arrays	array-examples	sanfoundry_02_ground.yml	True	OUT OF MEMORY	130.954529274	4999.999488	OUT OF MEMORY	127.24790232	4999.999488	OUT OF MEMORY	124.818514219	4999.999488	OUT OF MEMORY	139.401381088	4999.999488	OUT OF MEMORY	139.444513261	4999.999488	OUT OF MEMORY	142.963149	4999.999488	OUT OF MEMORY	141.692140025	4999.999488
ReachSafety-Arrays	array-examples	sanfoundry_10_ground.yml	True	TIMEOUT	301.162756892	799.608832	TIMEOUT	301.114539266	768.802816	TIMEOUT	301.117973235	781.893632	TIMEOUT	301.121649389	766.75072	TIMEOUT	301.142997107	764.936192	TIMEOUT	301.125199463	751.951872	TIMEOUT	301.116293443	745.381888
ReachSafety-Arrays	array-examples	sanfoundry_24-1.yml	True	TIMEOUT	301.035109168	197.287936	TIMEOUT	301.040042708	173.662208	TIMEOUT	301.046242685	172.35968	TIMEOUT	301.017386377	172.613632	TIMEOUT	301.01728899	174.153728	TIMEOUT	301.024060729	170.51648	TIMEOUT	301.014057511	171.68384
ReachSafety-Arrays	array-examples	sanfoundry_27_ground.yml	True	TIMEOUT	301.517043471	3455.397888	TIMEOUT	301.984475097	4137.7792	TIMEOUT	301.668930827	4137.783296	TIMEOUT	301.689361772	4138.201088	TIMEOUT	301.776997551	4138.344448	TIMEOUT	301.674261131	4138.213376	TIMEOUT	301.758084707	4138.213376
ReachSafety-Arrays	array-examples	sanfoundry_43_ground.yml	True	TIMEOUT	301.492217633	3017.252864	TIMEOUT	301.972762082	3327.67232	TIMEOUT	301.461524143	3377.78688	TIMEOUT	301.687539807	3415.73632	TIMEOUT	301.767529194	3394.10944	TIMEOUT	301.606464397	3269.947392	TIMEOUT	301.68851073	3360.530432
ReachSafety-Arrays	array-examples	sorting_bubblesort_2_ground.yml	False	TIMEOUT	301.222833665	921.243648	TIMEOUT	301.826254659	2729.32864	TIMEOUT	301.580254694	2742.222848	TIMEOUT	301.615513749	2777.137152	TIMEOUT	301.635433135	2790.03136	TIMEOUT	301.497754166	2777.198592	TIMEOUT	301.741793129	2790.526976
