category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound5.yml	True	true	1.704504568	45.891584	true	1.713033671	45.682688	true	1.74981402	46.67392
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound100.yml	True	true	66.776857933	91.209728	true	62.257972356	90.169344	true	61.704831153	90.99264
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound20.yml	True	true	10.205277227	68.227072	true	8.796701009	68.624384	true	9.129622456	68.960256
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound50.yml	True	true	29.622179512	86.40512	true	28.532768882	88.006656	true	28.84869482	87.94112
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound1.yml	True	true	0.33002185	34.430976	true	0.28052677	34.42688	true	0.307338908	34.881536
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound100.yml	True	true	17.241569048	112.562176	TIMEOUT	900.953831609	36.667392	true	32.507256978	113.074176
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound50.yml	True	true	18.656236007	113.123328	TIMEOUT	900.933144679	36.696064	true	17.810029733	113.60256
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound20.yml	True	true	14.865975716	113.7664	TIMEOUT	900.989198324	36.667392	true	13.710162639	113.37728
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound10.yml	True	true	2.116797716	58.793984	TIMEOUT	900.995421024	36.675584	true	2.12064747	59.277312
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound5.yml	True	true	1.962670345	58.810368	TIMEOUT	900.942992906	36.67968	true	2.099606572	59.277312
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound50.yml	False	TIMEOUT	901.034176756	425.222144	TIMEOUT	900.992083154	36.892672	false(unreach-call)	1.826344784	49.127424
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound20.yml	False	TIMEOUT	901.032201816	436.453376	TIMEOUT	900.999706314	36.92544	false(unreach-call)	1.813394526	49.143808
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound10.yml	False	false(unreach-call)	55.642457404	191.975424	TIMEOUT	900.994472105	36.929536	false(unreach-call)	1.855897823	49.135616
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound100.yml	False	TIMEOUT	901.031681203	426.643456	TIMEOUT	900.959647639	36.876288	false(unreach-call)	1.860563555	49.197056
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound5.yml	False	false(unreach-call)	12.650205556	113.594368	TIMEOUT	901.007248768	36.900864	false(unreach-call)	1.473292774	45.760512
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound2.yml	True	true	1.043192384	58.810368	TIMEOUT	900.942514759	36.651008	true	1.045769601	59.2896
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound1.yml	True	true	0.955530366	58.855424	TIMEOUT	900.940907745	36.663296	true	0.97742668	59.277312
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound2.yml	True	true	1.321791324	51.58912	TIMEOUT	900.991824452	36.880384	true	0.378584078	42.446848
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound50.yml	True	true	802.445984157	92.504064	TIMEOUT	900.999243535	35.500032	false(unreach-call)	0.330430447	34.197504
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound20.yml	True	true	16.770321082	51.105792	TIMEOUT	900.962892807	35.418112	false(unreach-call)	0.291429042	34.074624
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound5.yml	True	true	0.643065837	36.356096	TIMEOUT	900.994919777	35.40992	false(unreach-call)	0.335630038	34.074624
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound100.yml	True	TIMEOUT	900.994236504	83.410944	TIMEOUT	901.010827349	35.373056	false(unreach-call)	0.3292225	34.074624
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound10.yml	True	true	1.780863655	40.869888	TIMEOUT	901.004623287	35.495936	false(unreach-call)	0.336098964	34.189312
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound2.yml	True	true	0.221306033	33.415168	TIMEOUT	900.991147311	35.454976	true	0.250858541	34.082816
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound1.yml	True	true	0.230907785	33.849344	TIMEOUT	900.940906954	36.9664	true	0.306674806	34.594816
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound1.yml	True	true	0.222329587	33.329152	TIMEOUT	900.980308103	35.495936	true	0.25252928	34.095104
ReachSafety-Recursive	recursified_nla-digbench	recursified_divbin.yml	False	false(unreach-call)	6.0442853	38.019072	false(unreach-call)	5.520412126	38.838272	false(unreach-call)	5.999194863	38.6048
ReachSafety-Recursive	recursified_nla-digbench	recursified_dijkstra-u.yml	True	TIMEOUT	901.022541293	367.98464	TIMEOUT	901.037678871	393.465856	TIMEOUT	901.033454043	430.297088
ReachSafety-Recursive	recursified_nla-digbench	recursified_divbin2.yml	True	TIMEOUT	900.94071099	89.448448	TIMEOUT	900.996731585	89.06752	TIMEOUT	900.955973079	86.532096
ReachSafety-Recursive	recursified_nla-digbench	recursified_knuth.yml	True	TIMEOUT	900.9360837	116.342784	TIMEOUT	900.932404321	113.102848	TIMEOUT	900.992532459	111.460352
