category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Loops	nla-digbench	divbin.yml	False	false(unreach-call)	4.649994374	36.569088	false(unreach-call)	4.305245543	36.601856	false(unreach-call)	4.315170696	36.737024
ReachSafety-Loops	nla-digbench	dijkstra-u.yml	True	TIMEOUT	901.009068862	398.454784	TIMEOUT	901.042425909	410.632192	TIMEOUT	901.081693281	414.49472
ReachSafety-Loops	nla-digbench	divbin2.yml	True	TIMEOUT	900.952072469	85.778432	TIMEOUT	900.952639781	83.263488	TIMEOUT	900.964222981	83.034112
ReachSafety-Loops	nla-digbench	knuth.yml	True	TIMEOUT	901.004121223	111.767552	TIMEOUT	900.999770074	109.170688	TIMEOUT	901.012960762	115.265536
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound2.yml	True	true	0.710852867	34.021376	true	0.42205434	33.992704	true	0.487737292	34.766848
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound10.yml	True	true	8.492013732	65.96608	true	7.941514066	64.167936	true	8.307213365	65.20832
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound1.yml	True	true	0.437304668	33.411072	true	0.439913642	33.378304	true	0.426385207	34.234368
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound5.yml	True	true	0.787668261	34.230272	true	0.439328206	34.267136	true	0.434136555	35.012608
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound10.yml	True	true	0.75948189	35.827712	true	0.751452186	35.766272	true	0.812344681	36.253696
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound5.yml	True	true	0.778338657	35.86048	true	0.65360661	35.790848	true	0.708366702	36.196352
ReachSafety-Loops	nla-digbench-scaling	divbin_unwindbound20.yml	False	false(unreach-call)	4.662432101	36.773888	false(unreach-call)	4.643988142	36.773888	false(unreach-call)	4.56780997	37.306368
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound100.yml	True	true	3.525723595	39.264256	true	3.935219912	39.309312	true	3.990053395	39.829504
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound20.yml	True	true	0.977424439	37.289984	true	1.245292547	37.363712	true	1.303786791	37.859328
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound20.yml	True	true	0.58979982	36.405248	true	0.563369007	36.29056	true	0.625026175	36.777984
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound50.yml	True	true	1.268681332	36.39296	true	1.50380058	36.29056	true	1.522867553	36.855808
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound2.yml	True	true	0.267717072	33.44384	true	0.281647494	33.456128	true	0.312686916	34.217984
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound100.yml	True	true	1.032708673	38.043648	true	1.128088229	37.302272	true	1.075955727	37.879808
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound10.yml	True	true	0.353871963	34.267136	true	0.364211748	34.18112	true	0.426649523	35.004416
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound50.yml	True	true	0.595948819	36.0448	true	0.677468118	35.946496	true	0.74391267	36.31104
ReachSafety-Loops	nla-digbench-scaling	divbin_unwindbound2.yml	True	true	0.237534133	33.435648	true	0.241936648	33.435648	true	0.242559446	34.209792
ReachSafety-Loops	nla-digbench-scaling	divbin_unwindbound5.yml	True	true	9.588729826	39.571456	true	9.67744393	38.567936	true	9.905273051	40.218624
ReachSafety-Loops	nla-digbench-scaling	divbin_unwindbound1.yml	True	true	0.225785007	33.34144	true	0.239819631	33.374208	true	0.260302367	34.205696
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound1.yml	True	true	0.245658891	33.42336	true	0.220501821	33.42336	true	0.270344606	34.103296
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound2.yml	True	true	0.203898316	33.431552	true	0.251365208	33.42336	true	0.290122024	34.074624
ReachSafety-Loops	nla-digbench-scaling	divbin_unwindbound100.yml	False	false(unreach-call)	4.59421325	37.195776	false(unreach-call)	4.568736853	37.19168	false(unreach-call)	4.634590781	37.670912
ReachSafety-Loops	nla-digbench-scaling	divbin_unwindbound10.yml	False	false(unreach-call)	4.739234124	36.831232	false(unreach-call)	4.791627361	37.02784	false(unreach-call)	4.973893086	37.556224
ReachSafety-Loops	nla-digbench-scaling	knuth_unwindbound10.yml	True	TIMEOUT	900.914156556	108.48256	TIMEOUT	900.99384068	110.24384	TIMEOUT	900.905291643	124.137472
ReachSafety-Loops	nla-digbench-scaling	divbin_unwindbound50.yml	False	false(unreach-call)	4.561731002	37.183488	false(unreach-call)	4.589020032	37.158912	false(unreach-call)	4.592923025	37.646336
ReachSafety-Loops	nla-digbench-scaling	knuth_unwindbound50.yml	True	TIMEOUT	900.996477071	109.367296	TIMEOUT	901.002111922	110.170112	TIMEOUT	900.983957548	112.18944
ReachSafety-Loops	nla-digbench-scaling	knuth_unwindbound1.yml	True	TIMEOUT	900.822032229	112.857088	TIMEOUT	900.877986206	110.350336	TIMEOUT	900.862196564	117.39136
ReachSafety-Loops	nla-digbench-scaling	knuth_unwindbound20.yml	True	TIMEOUT	900.977070928	113.360896	TIMEOUT	900.953317024	110.411776	TIMEOUT	900.913311421	117.170176
ReachSafety-Loops	nla-digbench-scaling	knuth_unwindbound2.yml	True	TIMEOUT	900.89458823	116.330496	TIMEOUT	900.913591042	111.808512	TIMEOUT	900.965777722	114.745344
ReachSafety-Loops	nla-digbench-scaling	knuth_unwindbound5.yml	True	TIMEOUT	900.977412493	111.702016	TIMEOUT	900.926606734	112.61952	TIMEOUT	900.997993434	114.126848
ReachSafety-Loops	nla-digbench-scaling	knuth_unwindbound100.yml	True	TIMEOUT	901.004802918	120.233984	TIMEOUT	901.002188353	119.345152	TIMEOUT	900.998644886	118.74304
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound5.yml	True	true	1.704612452	45.694976	true	1.727185669	45.817856	true	1.847082146	46.239744
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound100.yml	True	true	68.120234741	91.209728	true	65.491380164	88.604672	true	68.075431787	92.164096
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound20.yml	True	true	10.384048987	68.149248	true	9.436730512	67.35872	true	9.479237507	68.468736
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound50.yml	True	true	30.233590274	86.372352	true	29.94834555	87.146496	true	31.104027504	90.701824
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound1.yml	True	true	0.266714027	34.312192	true	0.272593321	34.430976	true	0.310447038	34.869248
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound100.yml	True	true	17.438116494	112.586752	true	17.980565118	112.64	true	18.943217177	113.13152
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound50.yml	True	true	18.803646309	113.17248	true	18.947368832	113.127424	true	19.787151727	113.62304
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound20.yml	True	true	14.685887618	113.799168	true	14.708981362	113.778688	true	15.2626873	114.282496
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound10.yml	True	true	2.081074943	58.822656	true	2.211781805	58.806272	true	2.22156835	59.281408
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound5.yml	True	true	1.91962047	58.826752	true	2.054983813	58.814464	true	2.059655601	59.277312
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound50.yml	False	TIMEOUT	900.994962859	425.234432	TIMEOUT	901.011413895	449.18784	TIMEOUT	901.034929866	454.656
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound20.yml	False	TIMEOUT	901.023203359	436.383744	TIMEOUT	900.957725431	399.446016	TIMEOUT	901.017626483	420.859904
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound10.yml	False	false(unreach-call)	55.506775443	191.860736	false(unreach-call)	55.423751135	192.421888	false(unreach-call)	56.92033211	193.052672
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound100.yml	False	TIMEOUT	900.968708438	426.622976	TIMEOUT	900.947479527	447.676416	TIMEOUT	900.978168092	452.415488
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound5.yml	False	false(unreach-call)	12.422905555	113.68448	false(unreach-call)	12.23010335	113.586176	false(unreach-call)	13.060269651	114.151424
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound2.yml	True	true	0.992490172	58.781696	true	1.067286119	58.810368	true	1.204605942	59.2896
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_valuebound1.yml	True	true	0.955832862	58.847232	true	0.920015939	58.830848	true	1.085985869	59.26912
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound2.yml	True	true	1.338000388	51.6096	true	1.407176043	51.576832	true	1.37885343	52.084736
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound50.yml	True	true	825.211988952	92.516352	true	849.356205973	94.12608	true	849.356000395	85.696512
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound20.yml	True	true	17.077184013	51.154944	true	19.239442468	55.197696	true	19.709436242	55.76704
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound5.yml	True	true	0.611391385	36.33152	true	0.741864713	36.352	true	0.746199891	36.864
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound100.yml	True	TIMEOUT	900.995536433	83.386368	TIMEOUT	900.820260989	84.738048	TIMEOUT	900.818406774	84.504576
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound10.yml	True	true	1.788017429	40.886272	true	2.135800711	40.89856	true	2.365062122	41.439232
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound2.yml	True	true	0.184248162	33.353728	true	0.20901932	33.431552	true	0.312533992	34.086912
ReachSafety-Loops	nla-digbench-scaling	dijkstra-u_unwindbound1.yml	True	true	0.234451127	33.734656	true	0.238326219	33.763328	true	0.29893132	34.607104
ReachSafety-Loops	nla-digbench-scaling	divbin2_unwindbound1.yml	True	true	0.197401776	33.271808	true	0.221918677	33.366016	true	0.304550457	34.086912
ReachSafety-Recursive	recursified_nla-digbench	recursified_divbin.yml	False	false(unreach-call)	6.05142194	38.01088	false(unreach-call)	5.822239815	38.162432	false(unreach-call)	6.200248518	39.366656
ReachSafety-Recursive	recursified_nla-digbench	recursified_dijkstra-u.yml	True	TIMEOUT	901.010149329	391.237632	TIMEOUT	901.028661761	349.814784	TIMEOUT	900.968758684	367.988736
ReachSafety-Recursive	recursified_nla-digbench	recursified_divbin2.yml	True	TIMEOUT	900.925339851	89.473024	TIMEOUT	900.999680775	86.126592	TIMEOUT	900.993249099	86.204416
ReachSafety-Recursive	recursified_nla-digbench	recursified_knuth.yml	True	TIMEOUT	900.864069604	116.424704	TIMEOUT	900.986746521	110.75584	TIMEOUT	900.997688962	112.295936
