category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Loops	nla-digbench	divbin.yml	False	false(unreach-call)	4.149087767	36.5568	false(unreach-call)	4.045826617	36.18816	false(unreach-call)	4.102418228	36.732928
ReachSafety-Loops	nla-digbench	dijkstra-u.yml	True	TIMEOUT	901.00110819	398.327808	TIMEOUT	901.115212291	428.896256	TIMEOUT	901.004829985	429.592576
ReachSafety-Loops	nla-digbench	divbin2.yml	True	TIMEOUT	900.957456516	85.827584	TIMEOUT	900.995887273	75.132928	TIMEOUT	900.963348104	83.3536
ReachSafety-Loops	nla-digbench	knuth.yml	True	TIMEOUT	901.000666134	111.763456	TIMEOUT	901.027867553	114.8928	TIMEOUT	900.983475655	115.871744
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound2.yml	True	true	0.280818312	33.947648	true	0.289107932	33.943552	true	0.325421867	34.729984
ReachSafety-Loops	nla-digbench-scaling	knuth_valuebound10.yml	True	true	8.119112172	66.072576	true	7.719836234	64.135168	true	8.158949442	64.67584
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound1.yml	True	true	0.275413979	33.44384	true	0.258347938	33.431552	true	0.308717286	34.209792
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound5.yml	True	true	0.353859759	34.312192	true	0.329115222	34.26304	true	0.344846092	34.922496
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound10.yml	True	true	0.53020037	35.770368	true	0.634350824	35.815424	true	0.704814684	36.184064
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound5.yml	True	true	0.543243263	35.823616	true	0.54968317	35.811328	true	0.602500104	36.261888
ReachSafety-Loops	nla-digbench-scaling	divbin_unwindbound20.yml	False	false(unreach-call)	4.547354529	36.78208	false(unreach-call)	4.432639063	36.777984	false(unreach-call)	4.542976025	37.306368
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound100.yml	True	true	3.454552927	39.19872	true	3.751818584	39.256064	true	3.845631356	39.759872
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound20.yml	True	true	0.955006394	37.2736	true	1.201169245	37.380096	true	1.201645799	37.859328
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound20.yml	True	true	0.573449381	36.294656	true	0.555389971	36.294656	true	0.592270346	36.745216
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound50.yml	True	true	1.17584468	36.397056	true	1.417467345	36.323328	true	1.440954469	36.913152
ReachSafety-Loops	nla-digbench-scaling	divbin_valuebound2.yml	True	true	0.270442168	33.501184	true	0.291603311	33.460224	true	0.306175068	34.217984
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound100.yml	True	true	0.89956027	38.060032	true	1.160850547	37.380096	true	1.092508652	37.834752
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound10.yml	True	true	0.363230444	34.26304	true	0.364155609	34.189312	true	0.420102802	34.97984
ReachSafety-Loops	nla-digbench-scaling	divbin2_valuebound50.yml	True	true	0.604613886	35.96288	true	0.608243236	35.995648	true	0.682706529	36.33152
