tool		ESBMC 	ESBMC 	ESBMC 	ESBMC 
run set		Contractor.Contractor	Contractor.Contractor	Contractor.Contractor	Contractor.Contractor
../sv-benchmarks/c/		status	cputime (s)	walltime (s)	memory (MB)
nla-digbench/divbin.yml	false	false(unreach-call)	4.315170696	4.326319584972225	36.737024
nla-digbench/dijkstra-u.yml	true	TIMEOUT	901.081693281	901.0402475850424	414.494720
nla-digbench/divbin2.yml	true	TIMEOUT	900.964222981	901.0227776889224	83.034112
nla-digbench/knuth.yml	true	TIMEOUT	901.012960762	901.0240490350407	115.265536
nla-digbench-scaling/knuth_valuebound2.yml	true	true	0.487737292	0.49465249408967793	34.766848
nla-digbench-scaling/knuth_valuebound10.yml	true	true	8.307213365	8.318280076025985	65.208320
nla-digbench-scaling/divbin_valuebound1.yml	true	true	0.426385207	0.44269242498558015	34.234368
nla-digbench-scaling/divbin2_valuebound5.yml	true	true	0.434136555	0.44928083301056176	35.012608
nla-digbench-scaling/divbin_valuebound10.yml	true	true	0.812344681	0.8343620259547606	36.253696
nla-digbench-scaling/divbin_valuebound5.yml	true	true	0.708366702	0.7181870030472055	36.196352
nla-digbench-scaling/divbin_unwindbound20.yml	false	false(unreach-call)	4.56780997	4.5802734239259735	37.306368
nla-digbench-scaling/divbin_valuebound100.yml	true	true	3.990053395	3.9990376610076055	39.829504
nla-digbench-scaling/divbin_valuebound20.yml	true	true	1.303786791	1.3153537129983306	37.859328
nla-digbench-scaling/divbin2_valuebound20.yml	true	true	0.625026175	0.6322071589529514	36.777984
nla-digbench-scaling/divbin_valuebound50.yml	true	true	1.522867553	1.530190794961527	36.855808
nla-digbench-scaling/divbin_valuebound2.yml	true	true	0.312686916	0.3186328050214797	34.217984
nla-digbench-scaling/divbin2_valuebound100.yml	true	true	1.075955727	1.0884637730196118	37.879808
nla-digbench-scaling/divbin2_valuebound10.yml	true	true	0.426649523	0.43297558499034494	35.004416
nla-digbench-scaling/divbin2_valuebound50.yml	true	true	0.74391267	0.7535353970015422	36.311040
nla-digbench-scaling/divbin_unwindbound2.yml	true	true	0.242559446	0.25298249104525894	34.209792
nla-digbench-scaling/divbin_unwindbound5.yml	true	true	9.905273051	9.916049679974094	40.218624
nla-digbench-scaling/divbin_unwindbound1.yml	true	true	0.260302367	0.2667369300033897	34.205696
nla-digbench-scaling/divbin2_valuebound1.yml	true	true	0.270344606	0.27706722798757255	34.103296
nla-digbench-scaling/divbin2_valuebound2.yml	true	true	0.290122024	0.30058928788639605	34.074624
nla-digbench-scaling/divbin_unwindbound100.yml	false	false(unreach-call)	4.634590781	4.645088727003895	37.670912
nla-digbench-scaling/divbin_unwindbound10.yml	false	false(unreach-call)	4.973893086	4.979987150989473	37.556224
nla-digbench-scaling/knuth_unwindbound10.yml	true	TIMEOUT	900.905291643	901.0108755310066	124.137472
nla-digbench-scaling/divbin_unwindbound50.yml	false	false(unreach-call)	4.592923025	4.597235159948468	37.646336
nla-digbench-scaling/knuth_unwindbound50.yml	true	TIMEOUT	900.983957548	901.0110743159894	112.189440
nla-digbench-scaling/knuth_unwindbound1.yml	true	TIMEOUT	900.862196564	901.0231427960098	117.391360
nla-digbench-scaling/knuth_unwindbound20.yml	true	TIMEOUT	900.913311421	901.0154558300273	117.170176
nla-digbench-scaling/knuth_unwindbound2.yml	true	TIMEOUT	900.965777722	901.0129436089192	114.745344
nla-digbench-scaling/knuth_unwindbound5.yml	true	TIMEOUT	900.997993434	901.013542102999	114.126848
nla-digbench-scaling/knuth_unwindbound100.yml	true	TIMEOUT	900.998644886	901.0101845699828	118.743040
nla-digbench-scaling/knuth_valuebound5.yml	true	true	1.847082146	1.8603329709731042	46.239744
nla-digbench-scaling/knuth_valuebound100.yml	true	true	68.075431787	68.0831129050348	92.164096
nla-digbench-scaling/knuth_valuebound20.yml	true	true	9.479237507	9.486324513913132	68.468736
