category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-1.yml	False	TIMEOUT	301.08716956	1342.038016	TIMEOUT	301.102483737	1625.358336	TIMEOUT	301.111147627	1632.116736	TIMEOUT	301.091609134	1659.723776
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-2.yml	True	TIMEOUT	301.029167299	1141.00224	TIMEOUT	301.096708304	1438.449664	TIMEOUT	301.161359788	1438.466048	TIMEOUT	301.127394024	1487.519744
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_trivial_ground.yml	True	TIMEOUT	301.092179733	1262.047232	TIMEOUT	301.175752246	2768.154624	TIMEOUT	301.17224539	3077.582848	TIMEOUT	301.275519592	3224.51456
ReachSafety-Arrays	array-examples	relax-2-2.yml	True	TIMEOUT	301.006365819	100.909056	TIMEOUT	301.007876311	96.21504	TIMEOUT	301.005503475	96.0512	TIMEOUT	301.012615157	95.653888
ReachSafety-Arrays	array-examples	sanfoundry_02_ground.yml	True	OUT OF MEMORY	123.687769007	4999.999488	OUT OF MEMORY	129.67768899	4999.999488	OUT OF MEMORY	129.768947114	4999.999488	OUT OF MEMORY	134.767182354	4999.999488
ReachSafety-Arrays	array-examples	sanfoundry_10_ground.yml	True	TIMEOUT	300.389572128	837.738496	TIMEOUT	301.059596032	762.01984	TIMEOUT	301.043260487	788.76672	TIMEOUT	301.06307805	768.90112
ReachSafety-Arrays	array-examples	sanfoundry_24-1.yml	True	TIMEOUT	301.070138512	201.744384	TIMEOUT	300.996523958	171.237376	TIMEOUT	301.01006205	174.718976	TIMEOUT	301.013202664	171.614208
ReachSafety-Arrays	array-examples	sanfoundry_27_ground.yml	True	TIMEOUT	301.288970613	3455.418368	TIMEOUT	301.303870358	4137.783296	TIMEOUT	301.469806093	4137.783296	TIMEOUT	301.528737261	4138.524672
ReachSafety-Arrays	array-examples	sanfoundry_43_ground.yml	True	TIMEOUT	301.234718353	3096.59648	TIMEOUT	301.264493019	3322.724352	TIMEOUT	301.364934444	3277.062144	TIMEOUT	301.439087663	3412.692992
ReachSafety-Arrays	array-examples	sorting_bubblesort_2_ground.yml	False	TIMEOUT	300.98367287	919.69536	TIMEOUT	301.209750616	2729.508864	TIMEOUT	301.305793079	2742.272	TIMEOUT	301.447318021	2790.129664
ReachSafety-Arrays	array-examples	sorting_bubblesort_ground-1.yml	True	TIMEOUT	301.077757919	924.299264	TIMEOUT	301.315531591	2729.472	TIMEOUT	301.214334036	2742.284288	TIMEOUT	301.472266811	2790.080512
ReachSafety-Arrays	array-examples	sorting_bubblesort_ground-2.yml	False	TIMEOUT	301.063184535	927.420416	TIMEOUT	301.180975669	2729.517056	TIMEOUT	301.375982732	2742.411264	TIMEOUT	301.448064632	2790.096896
ReachSafety-Arrays	array-examples	sorting_selectionsort_2_ground.yml	False	TIMEOUT	300.105576068	1156.018176	TIMEOUT	301.105550779	1531.666432	TIMEOUT	301.182570648	1532.715008	TIMEOUT	301.27301604	1428.721664
ReachSafety-Arrays	array-examples	sorting_selectionsort_ground-1.yml	False	TIMEOUT	301.102777479	1215.369216	TIMEOUT	301.132313748	1892.22912	TIMEOUT	301.253680724	1933.889536	TIMEOUT	301.405287203	1962.139648
ReachSafety-Arrays	array-examples	sorting_selectionsort_ground-2.yml	True	TIMEOUT	301.104747341	1157.054464	TIMEOUT	301.16285862	1542.230016	TIMEOUT	301.222380923	1541.287936	TIMEOUT	301.271003235	1473.200128
ReachSafety-Arrays	array-examples	standard_allDiff2_ground.yml	False	TIMEOUT	301.10522358	1183.965184	TIMEOUT	301.130114815	1553.842176	TIMEOUT	301.143537772	1551.306752	TIMEOUT	301.351636094	1471.30368
ReachSafety-Arrays	array-examples	standard_compareModified_ground.yml	True	TIMEOUT	301.126900256	1542.385664	TIMEOUT	301.0868313	1887.232	TIMEOUT	301.267258058	1889.42336	TIMEOUT	301.363696143	1853.710336
ReachSafety-Arrays	array-examples	standard_compare_ground.yml	True	TIMEOUT	301.086707727	1497.62048	TIMEOUT	301.115710339	1696.186368	TIMEOUT	301.228789658	1729.41312	TIMEOUT	301.37866683	1705.078784
ReachSafety-Arrays	array-examples	standard_copy1_ground-1.yml	True	TIMEOUT	301.239448883	2604.978176	TIMEOUT	301.242486319	2858.233856	TIMEOUT	301.347672897	2858.06592	TIMEOUT	301.550749915	2858.512384
ReachSafety-Arrays	array-examples	standard_copy1_ground-2.yml	False	TIMEOUT	301.254983172	3181.727744	TIMEOUT	301.245457714	3451.162624	TIMEOUT	301.339761234	3451.293696	TIMEOUT	301.527690371	3451.51488
ReachSafety-Arrays	array-examples	standard_copy2_ground-1.yml	False	TIMEOUT	301.291057699	3735.740416	TIMEOUT	301.358118468	4076.478464	TIMEOUT	301.365527227	4076.507136	TIMEOUT	301.597747803	4076.883968
ReachSafety-Arrays	array-examples	standard_copy2_ground-2.yml	True	TIMEOUT	301.285006445	3239.145472	TIMEOUT	301.291847454	3562.995712	TIMEOUT	301.232856127	3562.92608	TIMEOUT	301.626630088	3563.45856
ReachSafety-Arrays	array-examples	standard_copy3_ground-1.yml	True	TIMEOUT	301.322074079	3838.857216	TIMEOUT	301.36989809	4233.191424	TIMEOUT	301.410004487	4233.170944	TIMEOUT	301.635500626	4233.715712
ReachSafety-Arrays	array-examples	standard_copy3_ground-2.yml	False	TIMEOUT	301.321937537	4355.735552	TIMEOUT	301.365929794	4767.080448	TIMEOUT	301.238519684	4767.04768	TIMEOUT	301.771778027	4767.506432
ReachSafety-Arrays	array-examples	standard_copy4_ground-1.yml	True	TIMEOUT	301.405894749	4448.550912	TIMEOUT	301.403212931	4913.319936	TIMEOUT	301.467313585	4913.508352	TIMEOUT	301.633578742	4913.819648
ReachSafety-Arrays	array-examples	standard_copy4_ground-2.yml	False	TIMEOUT	301.377460921	4938.399744	OUT OF MEMORY	100.082495954	4999.999488	OUT OF MEMORY	100.475947264	4999.999488	OUT OF MEMORY	100.34781948	4999.999488
ReachSafety-Arrays	array-examples	standard_copy5_ground-1.yml	True	OUT OF MEMORY	118.591850908	4999.999488	OUT OF MEMORY	101.571696762	4999.999488	OUT OF MEMORY	100.125567859	4999.999488	OUT OF MEMORY	98.042412311	4999.999488
ReachSafety-Arrays	array-examples	standard_copy5_ground-2.yml	False	OUT OF MEMORY	115.089988104	4999.999488	OUT OF MEMORY	103.988611951	4999.999488	OUT OF MEMORY	101.981087218	4999.999488	OUT OF MEMORY	102.991266995	4999.999488
ReachSafety-Arrays	array-examples	standard_copy6_ground-1.yml	False	OUT OF MEMORY	113.985399487	4999.999488	OUT OF MEMORY	105.382137071	4999.999488	OUT OF MEMORY	101.484644636	4999.999488	OUT OF MEMORY	103.087635944	4999.999488
ReachSafety-Arrays	array-examples	standard_copy6_ground-2.yml	True	OUT OF MEMORY	117.098909531	4999.999488	OUT OF MEMORY	105.478328242	4999.999488	OUT OF MEMORY	102.19724111	4999.999488	OUT OF MEMORY	106.216079217	4999.999488
ReachSafety-Arrays	array-examples	standard_copy7_ground-1.yml	False	OUT OF MEMORY	108.478575573	4999.999488	OUT OF MEMORY	105.957441353	4999.999488	OUT OF MEMORY	103.183983619	4999.999488	OUT OF MEMORY	102.907131133	4999.999488
ReachSafety-Arrays	array-examples	standard_copy7_ground-2.yml	True	OUT OF MEMORY	116.848675431	4999.999488	OUT OF MEMORY	100.734551368	4999.999488	OUT OF MEMORY	101.061788079	4999.999488	OUT OF MEMORY	102.378573489	4999.999488
ReachSafety-Arrays	array-examples	standard_copy8_ground-1.yml	True	OUT OF MEMORY	109.591036237	4999.999488	OUT OF MEMORY	104.648634539	4999.999488	OUT OF MEMORY	103.232675359	4999.999488	OUT OF MEMORY	105.438239156	4999.999488
ReachSafety-Arrays	array-examples	standard_copy8_ground-2.yml	False	OUT OF MEMORY	107.531625447	4999.999488	OUT OF MEMORY	102.025581682	4999.999488	OUT OF MEMORY	100.447208529	4999.999488	OUT OF MEMORY	99.080795321	4999.999488
ReachSafety-Arrays	array-examples	standard_copy9_ground-1.yml	False	OUT OF MEMORY	110.230354516	4999.999488	OUT OF MEMORY	94.254475328	4999.999488	OUT OF MEMORY	93.095209974	4999.999488	OUT OF MEMORY	92.889678098	4999.999488
ReachSafety-Arrays	array-examples	standard_copy9_ground-2.yml	True	OUT OF MEMORY	110.972883258	4999.999488	OUT OF MEMORY	95.323317321	4999.999488	OUT OF MEMORY	97.75099816	4999.999488	OUT OF MEMORY	95.243694098	4999.999488
ReachSafety-Arrays	array-examples	standard_copyInitSum2_ground-1.yml	False	TIMEOUT	301.112167196	2892.988416	TIMEOUT	301.26429427	3240.792064	TIMEOUT	301.258449655	3240.886272	TIMEOUT	301.266834209	3241.238528
ReachSafety-Arrays	array-examples	standard_copyInitSum2_ground-2.yml	True	TIMEOUT	301.241371117	3174.854656	TIMEOUT	301.224630843	3522.719744	TIMEOUT	301.251917655	3522.752512	TIMEOUT	301.265283318	3523.203072
ReachSafety-Arrays	array-examples	standard_copyInitSum3_ground.yml	True	TIMEOUT	301.331106279	3940.171776	TIMEOUT	301.445897876	4377.858048	TIMEOUT	301.304401214	4377.767936	TIMEOUT	301.380299009	4378.300416
ReachSafety-Arrays	array-examples	standard_copyInitSum_ground.yml	True	TIMEOUT	301.186803696	3185.446912	TIMEOUT	301.321860929	3533.16864	TIMEOUT	301.323896431	3533.238272	TIMEOUT	301.247724419	3533.66016
ReachSafety-Arrays	array-examples	standard_copyInit_ground.yml	True	TIMEOUT	301.169453546	2443.976704	TIMEOUT	301.126773652	2676.49024	TIMEOUT	301.165141209	2676.502528	TIMEOUT	301.231871524	2677.026816
ReachSafety-Arrays	array-examples	standard_find_ground-1.yml	True	OUT OF MEMORY	139.392731039	4999.999488	OUT OF MEMORY	144.081998456	4999.999488	OUT OF MEMORY	139.969440753	4999.999488	OUT OF MEMORY	142.733886179	4999.999488
ReachSafety-Arrays	array-examples	standard_init1_ground-1.yml	False	TIMEOUT	301.1547467	1847.947264	TIMEOUT	301.128660612	2009.960448	TIMEOUT	301.141299051	2009.874432	TIMEOUT	301.174214572	2010.329088
ReachSafety-Arrays	array-examples	standard_init1_ground-2.yml	True	TIMEOUT	301.078910362	1847.84896	TIMEOUT	301.252765957	2009.731072	TIMEOUT	301.156794169	2009.796608	TIMEOUT	301.217209245	2010.25536
ReachSafety-Arrays	array-examples	standard_init2_ground-1.yml	False	TIMEOUT	301.185899077	2365.698048	TIMEOUT	301.282202606	2579.038208	TIMEOUT	301.141694461	2579.034112	TIMEOUT	301.304317939	2579.464192
ReachSafety-Arrays	array-examples	standard_init2_ground-2.yml	True	TIMEOUT	301.195515928	2365.612032	TIMEOUT	301.254588537	2578.927616	TIMEOUT	301.170024746	2579.001344	TIMEOUT	301.300161639	2579.378176
ReachSafety-Arrays	array-examples	standard_init3_ground-1.yml	False	TIMEOUT	301.185637765	2885.574656	TIMEOUT	301.295065569	3149.991936	TIMEOUT	301.167658973	3150.016512	TIMEOUT	301.355044132	3150.52032
ReachSafety-Arrays	array-examples	standard_init3_ground-2.yml	True	TIMEOUT	301.197532021	2885.574656	TIMEOUT	301.250273779	3150.086144	TIMEOUT	301.221767649	3150.123008	TIMEOUT	301.263913523	3150.52032
ReachSafety-Arrays	array-examples	standard_init4_ground-1.yml	False	TIMEOUT	301.284663855	3450.191872	TIMEOUT	301.219027868	3766.063104	TIMEOUT	301.203870364	3766.0672	TIMEOUT	301.376154298	3766.464512
ReachSafety-Arrays	array-examples	standard_init4_ground-2.yml	True	TIMEOUT	301.248531193	3450.14272	TIMEOUT	300.853098663	3765.960704	TIMEOUT	301.289172985	3766.02624	TIMEOUT	301.356926367	3766.452224
ReachSafety-Arrays	array-examples	standard_init5_ground-1.yml	True	TIMEOUT	301.413717692	3956.862976	TIMEOUT	301.282627245	4324.081664	TIMEOUT	301.283363732	4324.114432	TIMEOUT	301.48552323	4324.511744
ReachSafety-Arrays	array-examples	standard_init5_ground-2.yml	False	TIMEOUT	301.384473847	3956.785152	TIMEOUT	301.274417705	4324.118528	TIMEOUT	301.358059032	4324.057088	TIMEOUT	301.399590053	4324.569088
ReachSafety-Arrays	array-examples	standard_init6_ground-1.yml	False	TIMEOUT	301.366341742	4546.289664	TIMEOUT	301.444842126	4964.806656	TIMEOUT	301.457894821	4964.757504	TIMEOUT	301.481417223	4965.261312
ReachSafety-Arrays	array-examples	standard_init6_ground-2.yml	True	TIMEOUT	301.370770163	4546.367488	TIMEOUT	301.422894904	4964.851712	TIMEOUT	301.447094666	4964.84352	TIMEOUT	301.39173101	4965.339136
ReachSafety-Arrays	array-examples	standard_init7_ground-1.yml	False	OUT OF MEMORY	118.38826278	4999.999488	OUT OF MEMORY	99.33938093	4999.999488	OUT OF MEMORY	95.75178982	4999.999488	OUT OF MEMORY	96.106855683	4999.999488
ReachSafety-Arrays	array-examples	standard_init7_ground-2.yml	True	OUT OF MEMORY	116.031081399	4999.999488	OUT OF MEMORY	96.059758156	4999.999488	OUT OF MEMORY	96.705336601	4999.999488	OUT OF MEMORY	98.361889549	4999.999488
ReachSafety-Arrays	array-examples	standard_init8_ground-1.yml	False	OUT OF MEMORY	103.410749608	4999.999488	OUT OF MEMORY	95.789229339	4999.999488	OUT OF MEMORY	95.35078734	4999.999488	OUT OF MEMORY	96.626801726	4999.999488
ReachSafety-Arrays	array-examples	standard_init8_ground-2.yml	True	OUT OF MEMORY	104.145287963	4999.999488	OUT OF MEMORY	98.715745148	4999.999488	OUT OF MEMORY	94.404549651	4999.999488	OUT OF MEMORY	95.322977043	4999.999488
ReachSafety-Arrays	array-examples	standard_init9_ground-1.yml	False	OUT OF MEMORY	99.323191097	4999.999488	OUT OF MEMORY	93.587422598	4999.999488	OUT OF MEMORY	91.071588644	4999.999488	OUT OF MEMORY	93.034243877	4999.999488
ReachSafety-Arrays	array-examples	standard_init9_ground-2.yml	True	OUT OF MEMORY	98.684185973	4999.999488	OUT OF MEMORY	94.987101342	4999.999488	OUT OF MEMORY	89.845937399	4999.999488	OUT OF MEMORY	93.085583313	4999.999488
ReachSafety-Arrays	array-examples	standard_maxInArray_ground.yml	True	TIMEOUT	301.219004027	3455.471616	TIMEOUT	301.273787168	4097.118208	TIMEOUT	301.314918309	4097.06496	TIMEOUT	301.317057156	4097.634304
ReachSafety-Arrays	array-examples	standard_minInArray_ground-1.yml	False	TIMEOUT	301.276139049	3462.254592	TIMEOUT	301.341974273	4144.369664	TIMEOUT	301.359823594	4144.39424	TIMEOUT	301.44369023	4144.86528
ReachSafety-Arrays	array-examples	standard_minInArray_ground-2.yml	True	TIMEOUT	301.347802795	3462.193152	TIMEOUT	301.419595886	4144.525312	TIMEOUT	301.437021002	4144.5376	TIMEOUT	301.406690332	4145.11104
ReachSafety-Arrays	array-examples	standard_palindrome_ground.yml	True	TIMEOUT	301.107428401	1094.36928	TIMEOUT	301.125791333	1182.212096	TIMEOUT	301.103440259	1182.957568	TIMEOUT	301.125370292	1166.66368
ReachSafety-Arrays	array-examples	standard_partial_init_ground.yml	True	TIMEOUT	301.122665509	834.564096	TIMEOUT	301.143524599	1158.692864	TIMEOUT	301.121951892	1159.61856	TIMEOUT	301.173062476	1177.718784
ReachSafety-Arrays	array-examples	standard_partition_ground-1.yml	False	TIMEOUT	301.00200999	160.059392	TIMEOUT	301.088896991	760.119296	TIMEOUT	301.078289121	760.848384	TIMEOUT	301.079131437	761.491456
ReachSafety-Arrays	array-examples	standard_partition_ground-2.yml	True	TIMEOUT	301.10712337	1137.291264	TIMEOUT	301.167368994	1426.829312	TIMEOUT	301.140635148	1444.798464	TIMEOUT	301.168938533	1412.493312
ReachSafety-Arrays	array-examples	standard_partition_original_ground.yml	True	TIMEOUT	301.121171684	1095.593984	TIMEOUT	301.104783096	1157.955584	TIMEOUT	301.094887495	1157.992448	TIMEOUT	301.139260007	1156.902912
ReachSafety-Arrays	array-examples	standard_password_ground.yml	True	TIMEOUT	301.31874813	3599.736832	TIMEOUT	301.390439765	3985.362944	TIMEOUT	301.43082757	3985.301504	TIMEOUT	301.367058006	4005.650432
ReachSafety-Arrays	array-examples	standard_reverse_ground.yml	True	TIMEOUT	301.193740712	2604.322816	TIMEOUT	301.303376866	2960.707584	TIMEOUT	301.252500795	2960.625664	TIMEOUT	301.270907992	2961.240064
ReachSafety-Arrays	array-examples	standard_running-1.yml	False	TIMEOUT	301.094457616	736.047104	TIMEOUT	301.229101805	1867.669504	TIMEOUT	301.18016617	1867.73504	TIMEOUT	301.24021472	1882.271744
