category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	standard_copy5_ground-1.yml	True	OUT OF MEMORY	118.591850908	4999.999488	OUT OF MEMORY	98.749201557	4999.999488	OUT OF MEMORY	98.798561301	4999.999488	OUT OF MEMORY	100.564455515	4999.999488
ReachSafety-Arrays	array-examples	standard_copy5_ground-2.yml	False	OUT OF MEMORY	115.089988104	4999.999488	OUT OF MEMORY	97.095257743	4999.999488	OUT OF MEMORY	100.968734933	4999.999488	OUT OF MEMORY	102.104962453	4999.999488
ReachSafety-Arrays	array-examples	standard_copy6_ground-1.yml	False	OUT OF MEMORY	113.985399487	4999.999488	OUT OF MEMORY	98.157850848	4999.999488	OUT OF MEMORY	97.650948572	4999.999488	OUT OF MEMORY	98.831553341	4999.999488
ReachSafety-Arrays	array-examples	standard_copy6_ground-2.yml	True	OUT OF MEMORY	117.098909531	4999.999488	OUT OF MEMORY	98.592760449	4999.999488	OUT OF MEMORY	106.013210014	4999.999488	OUT OF MEMORY	103.730031628	4999.999488
ReachSafety-Arrays	array-examples	standard_copy7_ground-1.yml	False	OUT OF MEMORY	108.478575573	4999.999488	OUT OF MEMORY	99.940321184	4999.999488	OUT OF MEMORY	100.108381367	4999.999488	OUT OF MEMORY	101.516559315	4999.999488
ReachSafety-Arrays	array-examples	standard_copy7_ground-2.yml	True	OUT OF MEMORY	116.848675431	4999.999488	OUT OF MEMORY	100.93271982	4999.999488	OUT OF MEMORY	101.170088604	4999.999488	OUT OF MEMORY	100.000111856	4999.999488
ReachSafety-Arrays	array-examples	standard_copy8_ground-1.yml	True	OUT OF MEMORY	109.591036237	4999.999488	OUT OF MEMORY	99.999378046	4999.999488	OUT OF MEMORY	100.230373579	4999.999488	OUT OF MEMORY	101.357422674	4999.999488
ReachSafety-Arrays	array-examples	standard_copy8_ground-2.yml	False	OUT OF MEMORY	107.531625447	4999.999488	OUT OF MEMORY	102.747066959	4999.999488	OUT OF MEMORY	103.371047726	4999.999488	OUT OF MEMORY	103.41099827	4999.999488
ReachSafety-Arrays	array-examples	standard_copy9_ground-1.yml	False	OUT OF MEMORY	110.230354516	4999.999488	OUT OF MEMORY	93.552854101	4999.999488	OUT OF MEMORY	96.310511636	4999.999488	OUT OF MEMORY	93.30359102	4999.999488
ReachSafety-Arrays	array-examples	standard_copy9_ground-2.yml	True	OUT OF MEMORY	110.972883258	4999.999488	OUT OF MEMORY	100.218866329	4999.999488	OUT OF MEMORY	100.562305089	4999.999488	OUT OF MEMORY	98.547099119	4999.999488
ReachSafety-Arrays	array-examples	standard_copyInitSum2_ground-1.yml	False	TIMEOUT	301.112167196	2892.988416	TIMEOUT	301.212645159	3133.669376	TIMEOUT	301.221162408	3133.72672	TIMEOUT	301.464364562	3134.234624
