category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-1.yml	False	TIMEOUT	301.08716956	1342.038016	TIMEOUT	301.041410556	635.584512	TIMEOUT	301.053779797	815.153152	TIMEOUT	301.095011868	1049.00608
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-2.yml	True	TIMEOUT	301.029167299	1141.00224	TIMEOUT	301.041817122	635.559936	TIMEOUT	301.100157079	815.16544	TIMEOUT	301.124067278	1046.851584
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_trivial_ground.yml	True	TIMEOUT	301.092179733	1262.047232	TIMEOUT	301.180876821	1121.460224	TIMEOUT	301.136496988	1296.490496	TIMEOUT	301.259594721	1514.348544
ReachSafety-Arrays	array-examples	relax-2-2.yml	True	TIMEOUT	301.006365819	100.909056	TIMEOUT	301.016953279	35.094528	TIMEOUT	301.00544685	35.04128	TIMEOUT	301.058632844	571.068416
ReachSafety-Arrays	array-examples	sanfoundry_02_ground.yml	True	OUT OF MEMORY	123.687769007	4999.999488	OUT OF MEMORY	127.223655995	4999.999488	OUT OF MEMORY	119.036820931	4999.999488	OUT OF MEMORY	191.30286974	4999.999488
ReachSafety-Arrays	array-examples	sanfoundry_10_ground.yml	True	TIMEOUT	300.389572128	837.738496	TIMEOUT	301.013907431	33.226752	TIMEOUT	300.98239635	33.32096	TIMEOUT	301.035941859	491.76576
ReachSafety-Arrays	array-examples	sanfoundry_24-1.yml	True	TIMEOUT	301.070138512	201.744384	TIMEOUT	300.992480125	33.243136	TIMEOUT	301.007032218	33.357824	TIMEOUT	301.032313656	349.036544
ReachSafety-Arrays	array-examples	sanfoundry_27_ground.yml	True	TIMEOUT	301.288970613	3455.418368	TIMEOUT	301.392341339	3992.604672	TIMEOUT	301.439836169	3992.584192	TIMEOUT	301.668234445	4054.560768
ReachSafety-Arrays	array-examples	sanfoundry_43_ground.yml	True	TIMEOUT	301.234718353	3096.59648	TIMEOUT	301.335158638	3226.451968	TIMEOUT	301.305411052	3314.323456	TIMEOUT	301.575835309	3309.932544
ReachSafety-Arrays	array-examples	sorting_bubblesort_2_ground.yml	False	TIMEOUT	300.98367287	919.69536	TIMEOUT	301.075120155	911.601664	TIMEOUT	301.442509329	2830.372864	TIMEOUT	301.608544963	3038.851072
ReachSafety-Arrays	array-examples	sorting_bubblesort_ground-1.yml	True	TIMEOUT	301.077757919	924.299264	TIMEOUT	301.101260279	911.54432	TIMEOUT	301.415741758	2830.442496	TIMEOUT	301.516899608	3038.826496
ReachSafety-Arrays	array-examples	sorting_bubblesort_ground-2.yml	False	TIMEOUT	301.063184535	927.420416	TIMEOUT	301.087243229	911.589376	TIMEOUT	301.477066524	2830.385152	TIMEOUT	301.51260768	3038.76096
ReachSafety-Arrays	array-examples	sorting_selectionsort_2_ground.yml	False	TIMEOUT	300.105576068	1156.018176	TIMEOUT	301.04495357	529.444864	TIMEOUT	300.989323941	1418.620928	TIMEOUT	301.290754736	1064.153088
ReachSafety-Arrays	array-examples	sorting_selectionsort_ground-1.yml	False	TIMEOUT	301.102777479	1215.369216	TIMEOUT	301.075697532	691.331072	TIMEOUT	301.14275517	960.63488	TIMEOUT	301.361024785	1587.544064
ReachSafety-Arrays	array-examples	sorting_selectionsort_ground-2.yml	True	TIMEOUT	301.104747341	1157.054464	TIMEOUT	301.079555766	564.617216	TIMEOUT	301.293233756	1557.061632	TIMEOUT	301.2659671	1104.56832
ReachSafety-Arrays	array-examples	standard_allDiff2_ground.yml	False	TIMEOUT	301.10522358	1183.965184	TIMEOUT	301.052045698	519.548928	TIMEOUT	301.302191229	1547.128832	TIMEOUT	301.389911862	1949.4912
ReachSafety-Arrays	array-examples	standard_compareModified_ground.yml	True	TIMEOUT	301.126900256	1542.385664	TIMEOUT	301.011182052	557.4656	TIMEOUT	301.334626889	1839.300608	TIMEOUT	301.450918256	1828.139008
ReachSafety-Arrays	array-examples	standard_compare_ground.yml	True	TIMEOUT	301.086707727	1497.62048	TIMEOUT	301.053487315	347.111424	TIMEOUT	301.299939868	1700.233216	TIMEOUT	301.432090071	1671.4752
ReachSafety-Arrays	array-examples	standard_copy1_ground-1.yml	True	TIMEOUT	301.239448883	2604.978176	TIMEOUT	301.284817537	2791.149568	TIMEOUT	301.385104279	2791.174144	TIMEOUT	301.544713691	2852.040704
ReachSafety-Arrays	array-examples	standard_copy1_ground-2.yml	False	TIMEOUT	301.254983172	3181.727744	TIMEOUT	301.244772774	3384.1152	TIMEOUT	301.464667982	3384.233984	TIMEOUT	301.532274226	3445.243904
ReachSafety-Arrays	array-examples	standard_copy2_ground-1.yml	False	TIMEOUT	301.291057699	3735.740416	TIMEOUT	301.359408902	3974.086656	TIMEOUT	301.455187708	3974.111232	TIMEOUT	301.694820166	4035.239936
ReachSafety-Arrays	array-examples	standard_copy2_ground-2.yml	True	TIMEOUT	301.285006445	3239.145472	TIMEOUT	301.294684563	3461.615616	TIMEOUT	301.40229924	3461.623808	TIMEOUT	301.535049049	3522.53952
ReachSafety-Arrays	array-examples	standard_copy3_ground-1.yml	True	TIMEOUT	301.322074079	3838.857216	TIMEOUT	301.343053183	4096.815104	TIMEOUT	301.479088444	4096.8192	TIMEOUT	301.630191071	4157.628416
ReachSafety-Arrays	array-examples	standard_copy3_ground-2.yml	False	TIMEOUT	301.321937537	4355.735552	TIMEOUT	301.36194837	4629.7088	TIMEOUT	301.506326133	4629.602304	TIMEOUT	301.596622266	4690.673664
ReachSafety-Arrays	array-examples	standard_copy4_ground-1.yml	True	TIMEOUT	301.405894749	4448.550912	TIMEOUT	301.418628994	4741.640192	TIMEOUT	301.600077865	4741.607424	TIMEOUT	301.578449108	4802.236416
ReachSafety-Arrays	array-examples	standard_copy4_ground-2.yml	False	TIMEOUT	301.377460921	4938.399744	OUT OF MEMORY	103.022188036	4999.999488	OUT OF MEMORY	101.15562657	4999.999488	OUT OF MEMORY	121.943294887	4999.999488
ReachSafety-Arrays	array-examples	standard_copy5_ground-1.yml	True	OUT OF MEMORY	118.591850908	4999.999488	OUT OF MEMORY	104.396668211	4999.999488	OUT OF MEMORY	102.618715567	4999.999488	OUT OF MEMORY	126.91298493	4999.999488
ReachSafety-Arrays	array-examples	standard_copy5_ground-2.yml	False	OUT OF MEMORY	115.089988104	4999.999488	OUT OF MEMORY	111.71794635	4999.999488	OUT OF MEMORY	104.588851331	4999.999488	OUT OF MEMORY	127.396526797	4999.999488
ReachSafety-Arrays	array-examples	standard_copy6_ground-1.yml	False	OUT OF MEMORY	113.985399487	4999.999488	OUT OF MEMORY	102.616353596	4999.999488	OUT OF MEMORY	105.752693588	4999.999488	OUT OF MEMORY	124.858859919	4999.999488
ReachSafety-Arrays	array-examples	standard_copy6_ground-2.yml	True	OUT OF MEMORY	117.098909531	4999.999488	OUT OF MEMORY	113.385116538	4999.999488	OUT OF MEMORY	105.843965473	4999.999488	OUT OF MEMORY	125.420465092	4999.999488
ReachSafety-Arrays	array-examples	standard_copy7_ground-1.yml	False	OUT OF MEMORY	108.478575573	4999.999488	OUT OF MEMORY	101.074661814	4999.999488	OUT OF MEMORY	97.444578683	4999.999488	OUT OF MEMORY	123.292328401	4999.999488
ReachSafety-Arrays	array-examples	standard_copy7_ground-2.yml	True	OUT OF MEMORY	116.848675431	4999.999488	OUT OF MEMORY	103.948628394	4999.999488	OUT OF MEMORY	102.087993678	4999.999488	OUT OF MEMORY	124.949071582	4999.999488
ReachSafety-Arrays	array-examples	standard_copy8_ground-1.yml	True	OUT OF MEMORY	109.591036237	4999.999488	OUT OF MEMORY	107.618351467	4999.999488	OUT OF MEMORY	103.624431334	4999.999488	OUT OF MEMORY	118.884200587	4999.999488
ReachSafety-Arrays	array-examples	standard_copy8_ground-2.yml	False	OUT OF MEMORY	107.531625447	4999.999488	OUT OF MEMORY	108.64823499	4999.999488	OUT OF MEMORY	104.06007767	4999.999488	OUT OF MEMORY	125.839936085	4999.999488
ReachSafety-Arrays	array-examples	standard_copy9_ground-1.yml	False	OUT OF MEMORY	110.230354516	4999.999488	OUT OF MEMORY	99.489791563	4999.999488	OUT OF MEMORY	95.933091244	4999.999488	OUT OF MEMORY	116.581930133	4999.999488
ReachSafety-Arrays	array-examples	standard_copy9_ground-2.yml	True	OUT OF MEMORY	110.972883258	4999.999488	OUT OF MEMORY	104.197365442	4999.999488	OUT OF MEMORY	101.85502159	4999.999488	OUT OF MEMORY	122.967896262	4999.999488
ReachSafety-Arrays	array-examples	standard_copyInitSum2_ground-1.yml	False	TIMEOUT	301.112167196	2892.988416	TIMEOUT	301.304590146	3133.616128	TIMEOUT	301.220710534	3133.66528	TIMEOUT	301.314483082	3196.27264
ReachSafety-Arrays	array-examples	standard_copyInitSum2_ground-2.yml	True	TIMEOUT	301.241371117	3174.854656	TIMEOUT	301.33140232	3415.621632	TIMEOUT	301.17319559	3415.547904	TIMEOUT	301.269942617	3478.106112
ReachSafety-Arrays	array-examples	standard_copyInitSum3_ground.yml	True	TIMEOUT	301.331106279	3940.171776	TIMEOUT	301.449362606	4230.59456	TIMEOUT	301.247398117	4230.565888	TIMEOUT	301.329797016	4293.259264
ReachSafety-Arrays	array-examples	standard_copyInitSum_ground.yml	True	TIMEOUT	301.186803696	3185.446912	TIMEOUT	301.250184946	3432.476672	TIMEOUT	301.298523982	3432.521728	TIMEOUT	301.309722602	3492.929536
ReachSafety-Arrays	array-examples	standard_copyInit_ground.yml	True	TIMEOUT	301.169453546	2443.976704	TIMEOUT	301.130198067	2609.557504	TIMEOUT	301.226398426	2609.52064	TIMEOUT	301.240039925	2671.968256
ReachSafety-Arrays	array-examples	standard_find_ground-1.yml	True	OUT OF MEMORY	139.392731039	4999.999488	TIMEOUT	300.997903725	225.304576	OUT OF MEMORY	149.079630691	4999.999488	OUT OF MEMORY	214.248908415	4999.999488
ReachSafety-Arrays	array-examples	standard_init1_ground-1.yml	False	TIMEOUT	301.1547467	1847.947264	TIMEOUT	300.959658931	1978.63424	TIMEOUT	301.197772971	1978.601472	TIMEOUT	301.13910182	2041.2416
ReachSafety-Arrays	array-examples	standard_init1_ground-2.yml	True	TIMEOUT	301.078910362	1847.84896	TIMEOUT	301.15414207	1978.53184	TIMEOUT	301.112856868	1978.580992	TIMEOUT	301.163334958	2041.233408
ReachSafety-Arrays	array-examples	standard_init2_ground-1.yml	False	TIMEOUT	301.185899077	2365.698048	TIMEOUT	301.20220781	2517.594112	TIMEOUT	301.262691066	2517.639168	TIMEOUT	301.246105914	2580.516864
ReachSafety-Arrays	array-examples	standard_init2_ground-2.yml	True	TIMEOUT	301.195515928	2365.612032	TIMEOUT	301.196084122	2517.671936	TIMEOUT	301.246031367	2517.680128	TIMEOUT	301.169573569	2580.447232
ReachSafety-Arrays	array-examples	standard_init3_ground-1.yml	False	TIMEOUT	301.185637765	2885.574656	TIMEOUT	301.272024861	3058.069504	TIMEOUT	301.202540035	3058.23744	TIMEOUT	301.207404819	3120.873472
ReachSafety-Arrays	array-examples	standard_init3_ground-2.yml	True	TIMEOUT	301.197532021	2885.574656	TIMEOUT	301.638557143	3058.147328	TIMEOUT	301.282721701	3058.102272	TIMEOUT	301.203937922	3120.857088
ReachSafety-Arrays	array-examples	standard_init4_ground-1.yml	False	TIMEOUT	301.284663855	3450.191872	TIMEOUT	301.111755831	3643.568128	TIMEOUT	301.34300786	3643.686912	TIMEOUT	301.23625454	3706.544128
ReachSafety-Arrays	array-examples	standard_init4_ground-2.yml	True	TIMEOUT	301.248531193	3450.14272	TIMEOUT	301.23412694	3643.482112	TIMEOUT	301.233468538	3643.547648	TIMEOUT	301.272457759	3706.519552
ReachSafety-Arrays	array-examples	standard_init5_ground-1.yml	True	TIMEOUT	301.413717692	3956.862976	TIMEOUT	301.318737251	4171.280384	TIMEOUT	301.272768727	4171.198464	TIMEOUT	301.367627388	4234.1376
ReachSafety-Arrays	array-examples	standard_init5_ground-2.yml	False	TIMEOUT	301.384473847	3956.785152	TIMEOUT	301.364034663	4171.18208	TIMEOUT	301.37608117	4171.128832	TIMEOUT	301.32777085	4234.207232
ReachSafety-Arrays	array-examples	standard_init6_ground-1.yml	False	TIMEOUT	301.366341742	4546.289664	TIMEOUT	301.591474135	4781.572096	TIMEOUT	301.38554245	4781.60896	TIMEOUT	301.406775269	4844.716032
ReachSafety-Arrays	array-examples	standard_init6_ground-2.yml	True	TIMEOUT	301.370770163	4546.367488	TIMEOUT	301.528383607	4781.613056	TIMEOUT	301.471702946	4781.510656	TIMEOUT	301.460383653	4844.70784
ReachSafety-Arrays	array-examples	standard_init7_ground-1.yml	False	OUT OF MEMORY	118.38826278	4999.999488	OUT OF MEMORY	100.211019977	4999.999488	OUT OF MEMORY	98.078323683	4999.999488	OUT OF MEMORY	116.606683816	4999.999488
ReachSafety-Arrays	array-examples	standard_init7_ground-2.yml	True	OUT OF MEMORY	116.031081399	4999.999488	OUT OF MEMORY	99.118969543	4999.999488	OUT OF MEMORY	96.000506828	4999.999488	OUT OF MEMORY	120.711475938	4999.999488
ReachSafety-Arrays	array-examples	standard_init8_ground-1.yml	False	OUT OF MEMORY	103.410749608	4999.999488	OUT OF MEMORY	98.417054719	4999.999488	OUT OF MEMORY	96.172141569	4999.999488	OUT OF MEMORY	117.992948761	4999.999488
ReachSafety-Arrays	array-examples	standard_init8_ground-2.yml	True	OUT OF MEMORY	104.145287963	4999.999488	OUT OF MEMORY	102.5303808	4999.999488	OUT OF MEMORY	97.138682963	4999.999488	OUT OF MEMORY	116.795826126	4999.999488
ReachSafety-Arrays	array-examples	standard_init9_ground-1.yml	False	OUT OF MEMORY	99.323191097	4999.999488	OUT OF MEMORY	96.664252876	4999.999488	OUT OF MEMORY	92.51870898	4999.999488	OUT OF MEMORY	113.906464661	4999.999488
ReachSafety-Arrays	array-examples	standard_init9_ground-2.yml	True	OUT OF MEMORY	98.684185973	4999.999488	OUT OF MEMORY	99.079774119	4999.999488	OUT OF MEMORY	90.356171396	4999.999488	OUT OF MEMORY	115.669783251	4999.999488
ReachSafety-Arrays	array-examples	standard_maxInArray_ground.yml	True	TIMEOUT	301.219004027	3455.471616	TIMEOUT	301.403121142	3951.824896	TIMEOUT	301.284898239	3951.927296	TIMEOUT	301.295963866	4013.088768
ReachSafety-Arrays	array-examples	standard_minInArray_ground-1.yml	False	TIMEOUT	301.276139049	3462.254592	TIMEOUT	301.604312197	3998.642176	TIMEOUT	301.376622373	3998.703616	TIMEOUT	301.47191034	4060.03712
ReachSafety-Arrays	array-examples	standard_minInArray_ground-2.yml	True	TIMEOUT	301.347802795	3462.193152	TIMEOUT	301.558826725	3998.887936	TIMEOUT	301.446906619	3998.871552	TIMEOUT	301.37966233	4062.224384
ReachSafety-Arrays	array-examples	standard_palindrome_ground.yml	True	TIMEOUT	301.107428401	1094.36928	TIMEOUT	301.039719561	167.54688	TIMEOUT	301.143236455	1174.265856	TIMEOUT	301.118578354	1164.447744
ReachSafety-Arrays	array-examples	standard_partial_init_ground.yml	True	TIMEOUT	301.122665509	834.564096	TIMEOUT	301.082897436	715.59168	TIMEOUT	301.151880331	1003.057152	TIMEOUT	301.155491633	1096.740864
ReachSafety-Arrays	array-examples	standard_partition_ground-1.yml	False	TIMEOUT	301.00200999	160.059392	TIMEOUT	300.80825934	202.727424	TIMEOUT	301.011499066	202.665984	TIMEOUT	301.023955429	438.652928
ReachSafety-Arrays	array-examples	standard_partition_ground-2.yml	True	TIMEOUT	301.10712337	1137.291264	TIMEOUT	301.061916662	452.796416	TIMEOUT	301.062084659	452.755456	TIMEOUT	301.08805879	687.120384
ReachSafety-Arrays	array-examples	standard_partition_original_ground.yml	True	TIMEOUT	301.121171684	1095.593984	TIMEOUT	301.043560982	273.580032	TIMEOUT	301.039353762	273.547264	TIMEOUT	301.078161521	590.716928
ReachSafety-Arrays	array-examples	standard_password_ground.yml	True	TIMEOUT	301.31874813	3599.736832	TIMEOUT	301.33654452	3835.26912	TIMEOUT	301.424082762	3835.285504	TIMEOUT	301.42761084	3915.350016
ReachSafety-Arrays	array-examples	standard_reverse_ground.yml	True	TIMEOUT	301.193740712	2604.322816	TIMEOUT	301.347479815	2843.029504	TIMEOUT	301.262682934	2843.029504	TIMEOUT	301.321293629	2903.437312
ReachSafety-Arrays	array-examples	standard_running-1.yml	False	TIMEOUT	301.094457616	736.047104	TIMEOUT	301.180297244	1657.716736	TIMEOUT	301.211298499	1657.683968	TIMEOUT	301.16137067	1673.662464
ReachSafety-Arrays	array-examples	standard_running-2.yml	True	TIMEOUT	301.097571829	736.055296	TIMEOUT	301.097295702	1667.35872	TIMEOUT	301.172487777	1667.305472	TIMEOUT	301.203939537	1682.78016
ReachSafety-Arrays	array-examples	standard_sentinel-2.yml	True	OUT OF MEMORY	244.9459729	4999.999488	TIMEOUT	301.004772354	212.45952	TIMEOUT	301.030300543	212.389888	TIMEOUT	301.084624336	616.587264
