category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-1.yml	False	TIMEOUT	301.08716956	1342.038016	TIMEOUT	301.1048636	1672.646656	TIMEOUT	301.189634161	1656.393728	TIMEOUT	301.22438498	1697.32096
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_ground-2.yml	True	TIMEOUT	301.029167299	1141.00224	TIMEOUT	300.834463429	1457.369088	TIMEOUT	301.117577106	1443.135488	TIMEOUT	301.124818196	1495.031808
ReachSafety-Arrays	array-examples	data_structures_set_multi_proc_trivial_ground.yml	True	TIMEOUT	301.092179733	1262.047232	TIMEOUT	301.211862913	2768.244736	TIMEOUT	301.35907966	3077.595136	TIMEOUT	301.54747192	3224.55552
ReachSafety-Arrays	array-examples	relax-2-2.yml	True	TIMEOUT	301.006365819	100.909056	TIMEOUT	300.987571013	95.121408	TIMEOUT	301.013596411	95.883264	TIMEOUT	301.00032478	95.98976
ReachSafety-Arrays	array-examples	sanfoundry_02_ground.yml	True	OUT OF MEMORY	123.687769007	4999.999488	OUT OF MEMORY	115.522133411	4999.999488	OUT OF MEMORY	119.084955962	4999.999488	OUT OF MEMORY	131.007519328	4999.999488
ReachSafety-Arrays	array-examples	sanfoundry_10_ground.yml	True	TIMEOUT	300.389572128	837.738496	TIMEOUT	301.219906089	788.779008	TIMEOUT	301.130200382	750.358528	TIMEOUT	301.08791567	786.198528
ReachSafety-Arrays	array-examples	sanfoundry_24-1.yml	True	TIMEOUT	301.070138512	201.744384	TIMEOUT	301.00488229	178.814976	TIMEOUT	301.028526707	172.408832	TIMEOUT	301.010401435	174.239744
ReachSafety-Arrays	array-examples	sanfoundry_27_ground.yml	True	TIMEOUT	301.288970613	3455.418368	TIMEOUT	301.50333649	4137.86112	TIMEOUT	301.638574996	4137.725952	TIMEOUT	301.64710134	4138.344448
ReachSafety-Arrays	array-examples	sanfoundry_43_ground.yml	True	TIMEOUT	301.234718353	3096.59648	TIMEOUT	301.327996831	3325.177856	TIMEOUT	301.536605556	3202.39616	TIMEOUT	301.361475294	3327.541248
ReachSafety-Arrays	array-examples	sorting_bubblesort_2_ground.yml	False	TIMEOUT	300.98367287	919.69536	TIMEOUT	301.376399344	2729.480192	TIMEOUT	301.448100043	2742.198272	TIMEOUT	301.252223962	2790.15424
ReachSafety-Arrays	array-examples	sorting_bubblesort_ground-1.yml	True	TIMEOUT	301.077757919	924.299264	TIMEOUT	301.394614726	2729.394176	TIMEOUT	301.353294934	2742.173696	TIMEOUT	301.506502885	2790.146048
