category	sub category	Benchmark	CTRL	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)	status	cputime(s)	memory(MB)
ReachSafety-Arrays	array-examples	standard_copyInitSum2_ground-2.yml	True	TIMEOUT	121.148443155	3173.347328	TIMEOUT	120.296960019	3044.028416	TIMEOUT	120.751448366	3487.686656	TIMEOUT	121.146353735	2427.662336
ReachSafety-Arrays	array-examples	standard_copyInitSum3_ground.yml	True	TIMEOUT	120.946857311	3470.839808	TIMEOUT	120.330495638	3052.306432	TIMEOUT	120.666616486	3336.781824	TIMEOUT	121.108406695	2287.960064
ReachSafety-Arrays	array-examples	standard_copyInitSum_ground.yml	True	TIMEOUT	120.986413487	3184.930816	TIMEOUT	120.408595577	3011.792896	TIMEOUT	121.246658941	3424.485376	TIMEOUT	121.131983002	2364.264448
ReachSafety-Arrays	array-examples	standard_partial_init_ground.yml	True	TIMEOUT	120.69464534	796.147712	TIMEOUT	120.658829317	1370.034176	TIMEOUT	120.605880076	1347.547136	TIMEOUT	121.183765015	1059.835904
ReachSafety-Arrays	array-examples	standard_partition_ground-1.yml	False	TIMEOUT	120.72226643	202.809344	TIMEOUT	120.91830966	942.051328	TIMEOUT	120.938132853	901.98016	TIMEOUT	121.146706276	742.518784
ReachSafety-Arrays	array-examples	standard_partition_ground-2.yml	True	TIMEOUT	121.173447844	628.154368	TIMEOUT	120.947815418	1398.874112	TIMEOUT	120.777587567	1387.749376	TIMEOUT	121.18898466	1133.576192
ReachSafety-Arrays	array-examples	standard_partition_original_ground.yml	True	TIMEOUT	120.700191596	1816.551424	TIMEOUT	120.863872283	1860.702208	TIMEOUT	121.134436768	1848.557568	TIMEOUT	121.255591058	1862.242304
ReachSafety-Arrays	array-examples	standard_sentinel-2.yml	True	TIMEOUT	121.595122131	2085.052416	TIMEOUT	120.358030819	2276.098048	TIMEOUT	121.192138443	2338.0992	TIMEOUT	121.290310627	2260.676608
ReachSafety-Arrays	array-examples	standard_sentinel.i.v+cfa-reducer.yml	True	TIMEOUT	121.393816801	2133.139456	TIMEOUT	121.157066782	2314.891264	TIMEOUT	121.172755493	2363.1872	TIMEOUT	121.246980553	2326.331392
ReachSafety-Arrays	array-examples	standard_seq_init_ground.yml	True	TIMEOUT	121.306011292	4325.748736	TIMEOUT	121.4315756	4518.432768	TIMEOUT	121.301203273	4514.156544	TIMEOUT	121.386381272	4406.92736
ReachSafety-Arrays	array-examples	standard_two_index_01.yml	True	TIMEOUT	120.814332993	213.008384	TIMEOUT	120.870957187	220.286976	TIMEOUT	120.720944477	225.398784	TIMEOUT	121.041399953	233.623552
ReachSafety-Arrays	array-examples	standard_two_index_02.yml	True	TIMEOUT	120.744131676	221.310976	TIMEOUT	120.225792439	223.58016	TIMEOUT	120.325196887	225.755136	TIMEOUT	121.042756485	235.319296
ReachSafety-Arrays	array-examples	standard_two_index_03.yml	True	TIMEOUT	120.786355696	221.569024	TIMEOUT	120.778413227	225.705984	TIMEOUT	120.776232953	224.878592	TIMEOUT	121.031936558	232.542208
ReachSafety-Arrays	array-examples	standard_two_index_04.yml	True	TIMEOUT	120.926258964	222.78144	TIMEOUT	120.92816543	223.264768	TIMEOUT	120.445767463	223.862784	TIMEOUT	121.030878807	228.569088
ReachSafety-Arrays	array-examples	standard_two_index_05.yml	True	TIMEOUT	120.804608067	213.282816	TIMEOUT	120.88997483	225.042432	TIMEOUT	120.58875649	228.53632	TIMEOUT	121.023227769	244.772864
ReachSafety-Arrays	array-examples	standard_two_index_06.yml	True	TIMEOUT	120.97294172	224.415744	TIMEOUT	121.010847281	219.078656	TIMEOUT	120.917913389	225.615872	TIMEOUT	121.077054934	237.047808
ReachSafety-Arrays	array-examples	standard_two_index_07.yml	True	TIMEOUT	120.795743573	220.463104	TIMEOUT	120.417975583	223.260672	TIMEOUT	120.544142081	225.538048	TIMEOUT	121.03810916	244.38784
ReachSafety-Arrays	array-examples	standard_two_index_08.yml	True	TIMEOUT	120.814175128	223.686656	TIMEOUT	120.984489479	225.52576	TIMEOUT	120.942855615	229.896192	TIMEOUT	121.032629107	234.5984
ReachSafety-Arrays	array-examples	standard_two_index_09.yml	True	TIMEOUT	120.756496713	219.529216	TIMEOUT	120.952943338	227.08224	TIMEOUT	120.983388966	226.828288	TIMEOUT	120.96265184	237.13792
ReachSafety-Arrays	array-examples	standard_vararg_ground.yml	True	TIMEOUT	121.816551109	3026.395136	TIMEOUT	121.455030824	3134.27968	TIMEOUT	121.16247524	3364.466688	TIMEOUT	121.44531016	3476.914176
